"customer_id","gender","age","senior_citizen","married","num_dependents","zip_code"
"0117-LFRMW","Male",52,"No","Yes",1,94508
"0118-JPNOY","Female",71,"Yes","No",0,95333
"0121-SNYRK","Male",45,"No","No",0,95560
"0122-OAHPZ","Female",29,"No","No",0,92122
"0123-CRBRT","Female",62,"No","Yes",0,91755
"0125-LZQXK","Male",42,"No","No",0,95305
"0128-MKWSG","Female",51,"No","No",2,91381
"0129-KPTWJ","Male",39,"No","Yes",0,95660
"0129-QMPDR","Male",64,"No","Yes",0,91746
"0130-SXOUN","Male",55,"No","No",0,95443
"0133-BMFZO","Female",40,"No","No",0,91803
"0134-XWXCE","Female",76,"Yes","No",0,90403
"0135-NMXAP","Female",57,"No","No",0,95240
"0136-IFMYD","Male",71,"Yes","Yes",0,90001
"0137-OCGAB","Female",25,"No","No",0,94533
"0137-UDEUO","Female",24,"No","No",0,95204
"0139-IVFJG","Female",19,"No","Yes",0,92592
"0141-YEAYS","Female",77,"Yes","No",0,92028
"0142-GVYSN","Male",57,"No","No",0,93554
"0147-ESWWR","Female",73,"Yes","Yes",0,93422
"0148-DCDOS","Male",41,"No","No",0,95365
"0151-ONTOV","Female",43,"No","No",0,93021
"0156-FVPTA","Male",48,"No","Yes",0,93463
"0164-APGRB","Female",56,"No","No",0,94515
"0164-XAIRP","Female",51,"No","No",0,90638
"0168-XZKBB","Female",34,"No","Yes",0,93516
"0174-QRVVY","Male",21,"No","Yes",2,92078
"0177-PXBAT","Male",78,"Yes","Yes",0,92239
"0178-CIIKR","Female",60,"No","No",0,95313
"0178-SZBHO","Male",54,"No","Yes",1,95379
"0181-RITDD","Male",42,"No","Yes",3,92120
"0186-CAERR","Male",22,"No","No",0,95603
"0187-QSXOE","Male",71,"Yes","Yes",0,93725
"0187-WZNAB","Female",56,"No","Yes",2,93616
"0188-GWFLE","Male",33,"No","No",0,94065
"0191-EQUUH","Female",32,"No","No",3,92285
"0191-ZHSKZ","Male",80,"Yes","No",0,90250
"0193-ESZXP","Female",73,"Yes","Yes",0,93445
"0195-IESCP","Male",26,"No","Yes",0,93202
"0196-JTUQI","Female",59,"No","No",0,95612
"0196-VULGZ","Female",78,"Yes","Yes",0,92620
"0197-PNKNK","Female",47,"No","Yes",1,95066
"0201-MIBOL","Female",68,"Yes","No",0,95368
"0201-OAMXR","Female",30,"No","No",0,95519
"0203-HHYIJ","Male",62,"No","No",0,94027
"0206-OYVOC","Female",52,"No","Yes",2,92649
"0206-TBWLC","Female",63,"No","Yes",0,92320
"0207-MDKNV","Female",54,"No","No",0,94014
"0208-BPQEJ","Female",48,"No","Yes",1,95461
"0212-ISBBF","Female",51,"No","No",0,94705
"0214-JHPFW","Female",22,"No","Yes",0,93249
"0215-BQKGS","Male",52,"No","No",0,92844
"0218-QNVAS","Male",22,"No","Yes",1,92203
"0219-QAERP","Male",33,"No","Yes",0,93033
"0219-YTZUE","Male",26,"No","Yes",0,92122
"0220-EBGCE","Male",58,"No","No",0,92027
"0221-NAUXK","Male",22,"No","No",1,92553
"0221-WMXNQ","Male",66,"Yes","No",0,91710
"0222-CNVPT","Male",69,"Yes","No",0,95820
"0224-HJAPT","Male",25,"No","No",0,92117
"0224-NIJLP","Male",30,"No","Yes",3,95380
"0224-RLWWD","Female",73,"Yes","No",0,92231
"0225-ZORZP","Male",46,"No","No",0,95321
"0228-MAUWC","Male",40,"No","No",0,95033
"0229-LFJAF","Male",53,"No","No",0,93611
"0230-UBYPQ","Male",76,"Yes","Yes",0,96046
"0230-WEQUW","Male",38,"No","Yes",0,91364
"0231-LXVAP","Male",23,"No","No",0,92592
"0233-FTHAV","Female",24,"No","No",0,95334
"0234-TEVTT","Female",43,"No","Yes",3,93274
"0235-KGSLC","Female",45,"No","No",0,93427
"0236-HFWSV","Male",49,"No","No",0,93552
"0237-YFUTL","Female",62,"No","Yes",0,92655
"0238-WHBIQ","Male",25,"No","Yes",1,95630
"0239-OXEXL","Female",37,"No","No",0,94619
"0244-LGNFY","Female",35,"No","Yes",1,94960
"0247-SLUJI","Male",37,"No","Yes",3,91010
"0248-IPDFW","Female",19,"No","No",0,92530
"0248-PGHBZ","Female",69,"Yes","No",0,92672
"0253-ZTEOB","Female",44,"No","Yes",1,90004
"0254-FNMCI","Female",19,"No","No",0,90241
"0254-KCJGT","Male",64,"No","Yes",0,94923
"0254-WWRKD","Female",44,"No","Yes",3,95925
"0256-LTHVJ","Female",58,"No","Yes",0,92338
"0257-KXZGU","Female",29,"No","Yes",1,95051
"0257-ZESQC","Female",80,"Yes","Yes",0,92571
"0258-NOKBL","Male",22,"No","No",0,95540
"0259-GBZSH","Male",22,"No","No",0,92122
"0260-ZDLGK","Female",50,"No","No",2,91773
"0263-FJTQO","Male",53,"No","Yes",2,95672
"0264-CNITK","Female",45,"No","Yes",2,96106
"0265-EDXBD","Male",76,"Yes","Yes",0,92122
"0265-PSUAE","Female",57,"No","Yes",3,95651
"0266-CLZKZ","Female",45,"No","Yes",3,92078
"0266-GMEAO","Male",43,"No","Yes",1,93436
"0268-QKIWO","Female",41,"No","No",0,95664
"0269-XFESX","Male",22,"No","Yes",3,94133
"0270-THENM","Male",62,"No","Yes",2,91345
"0274-JKUJR","Male",21,"No","Yes",2,90040
"0277-BKSQP","Male",49,"No","Yes",3,90710
"0277-ORXQS","Male",33,"No","Yes",4,94108
"0278-YXOOG","Male",30,"No","No",0,90301
"0280-XJGEX","Male",38,"No","No",1,90015
"0281-CNTZX","Male",56,"No","Yes",0,94060
"0282-NVSJS","Female",70,"Yes","Yes",1,95004
"0285-INHLN","Male",54,"No","Yes",6,93603
"0289-IVARM","Female",57,"No","No",0,93648
"0292-WEGCH","Female",40,"No","Yes",2,92328
"0295-PPHDO","Male",56,"No","No",0,91744
"0295-QVKPB","Male",38,"No","No",0,93656
"0297-RBCSG","Male",61,"No","No",0,94104
"0298-XACET","Male",35,"No","Yes",2,95916
"0301-FIDRB","Female",61,"No","Yes",3,95439
"0301-KOBTQ","Male",50,"No","No",0,95010
"0302-JOIVN","Female",47,"No","Yes",0,92109
"0303-UNCIP","Male",35,"No","No",0,91711
"0303-WMMRN","Male",32,"No","No",0,91207
"0305-SQECB","Female",54,"No","No",1,90248
"0306-JAELE","Male",61,"No","No",0,92028
"0307-BCOPK","Female",62,"No","No",0,94134
"0308-GIQJT","Male",80,"Yes","No",0,92126
"0308-IVGOK","Female",23,"No","No",0,92703
"0310-MVLET","Female",63,"No","Yes",0,95369
"0310-SUCIN","Female",50,"No","Yes",0,93522
"0310-VQXAM","Male",56,"No","No",0,92404
"0311-QYWSS","Female",63,"No","No",0,95542
"0311-UNPFF","Female",58,"No","No",0,90807
"0314-TKOSI","Female",29,"No","No",0,91784
"0315-LVCRK","Male",54,"No","No",0,95762
"0318-QUUOB","Male",25,"No","Yes",0,95403
"0318-ZOPWS","Female",31,"No","Yes",0,90265
"0319-QZTCO","Female",25,"No","Yes",2,95401
"0320-DWVTU","Female",46,"No","No",0,93656
"0320-JDNQG","Male",28,"No","Yes",0,93035
"0322-CHQRU","Male",63,"No","No",0,93591
"0322-YINQP","Male",37,"No","No",0,91723
"0323-XWWTN","Male",44,"No","No",1,93954
"0324-BRPCJ","Female",74,"Yes","Yes",0,93591
"0325-XBFAC","Male",44,"No","No",0,95546
"0326-VDYXE","Female",21,"No","Yes",0,90802
"0327-WFZSY","Male",62,"No","Yes",3,95564
"0328-GRPMV","Female",43,"No","No",0,95527
"0329-GTIAJ","Female",40,"No","No",0,92844
"0330-BGYZE","Male",48,"No","Yes",0,96121
"0330-IVZHA","Female",55,"No","Yes",0,96007
"0334-GDDSO","Male",77,"Yes","No",0,92122
"0334-ZFJSR","Female",41,"No","Yes",0,92123
"0336-KXKFK","Male",43,"No","No",0,93453
"0336-PIKEI","Male",69,"Yes","Yes",0,92869
"0337-CNPZE","Female",63,"No","No",0,90033
"0343-QLUZP","Male",38,"No","No",0,95111
"0345-HKJVM","Female",43,"No","No",0,92109
"0345-XMMUG","Female",29,"No","Yes",0,95640
"0347-UBKUZ","Female",46,"No","No",0,94404
"0348-SDKOL","Female",33,"No","Yes",0,92117
"0354-VXMJC","Male",60,"No","Yes",3,90034
"0354-WYROK","Female",70,"Yes","Yes",0,94130
"0356-ERHVT","Male",54,"No","Yes",0,95062
"0356-OBMAC","Female",80,"Yes","No",0,92596
"0357-NVCRI","Female",41,"No","No",3,92021
"0361-HJRDX","Female",38,"No","No",0,91403
"0362-RAOQO","Female",48,"No","No",0,92860
"0362-ZBZWJ","Male",46,"No","No",0,95686
"0363-QJVFX","Male",22,"No","No",0,93532
"0363-SVHYR","Male",28,"No","Yes",3,90723
"0365-BZUWY","Male",58,"No","Yes",0,92675
"0365-GXEZS","Male",55,"No","Yes",0,95228
"0365-TRTPY","Female",52,"No","No",0,91724
"0366-NQSHS","Male",42,"No","No",0,95932
"0369-ZGOVK","Female",56,"No","Yes",2,90630
"0373-AIVNJ","Male",34,"No","No",0,95814
"0374-AACSZ","Female",63,"No","No",0,93534
"0374-FIUCA","Male",59,"No","Yes",0,92867
"0374-IOEGQ","Female",62,"No","No",0,93926
"0375-HVGXO","Female",31,"No","No",0,90045
"0376-OIWME","Male",24,"No","Yes",0,92173
"0376-YMCJC","Male",21,"No","No",0,94949
"0377-JBKKT","Male",21,"No","Yes",3,95020
"0378-CJKPV","Female",56,"No","Yes",0,91377
"0378-NHQXU","Female",31,"No","Yes",0,94080
"0378-TOVMS","Female",20,"No","No",0,95385
"0378-XSZPU","Male",31,"No","Yes",0,95117
"0379-DJQHR","Male",60,"No","Yes",0,94089
"0380-NEAVX","Male",72,"Yes","No",0,92660
"0380-ZCSBI","Male",56,"No","No",0,94133
"0383-CLDDA","Female",42,"No","No",0,94305
"0384-LPITE","Male",38,"No","No",0,90041
"0384-RVBPI","Male",64,"No","No",0,95380
"0386-CWRGM","Female",61,"No","Yes",1,90210
"0388-EOPEX","Female",28,"No","Yes",0,92503
"0390-DCFDQ","Female",76,"Yes","Yes",2,90720
"0392-BZIUW","Female",44,"No","Yes",0,93710
"0394-YONDK","Male",28,"No","Yes",3,92025
"0396-HUJBP","Female",34,"No","No",0,90247
"0396-UKGAI","Male",25,"No","No",3,92024
"0396-YCHWO","Male",58,"No","Yes",0,95829
"0397-GZBBC","Male",70,"Yes","Yes",0,93665
"0397-ZXWQF","Male",24,"No","No",0,95555
"0401-WDBXM","Male",22,"No","Yes",3,95118
"0402-CQAJN","Female",22,"No","No",0,91732
"0402-OAMEN","Female",36,"No","Yes",1,93962
"0404-AHASP","Male",23,"No","Yes",0,90212
"0404-SWRVG","Male",21,"No","No",2,90631
"0406-BPDVR","Female",75,"Yes","Yes",0,93277
"0407-BDJKB","Male",59,"No","Yes",0,94114
"0409-WTMPL","Female",35,"No","Yes",0,90602
"0410-IPFTY","Female",64,"No","Yes",0,90822
"0411-EZJZE","Female",62,"No","No",0,95215
"0412-UCCNP","Male",20,"No","No",0,92332
"0415-MOSGF","Female",58,"No","No",0,95030
"0419-YAAPX","Male",44,"No","Yes",0,95949
"0420-BWTPW","Male",40,"No","No",0,92117
"0420-HLGXF","Female",72,"Yes","No",0,93291
"0420-TXVSG","Male",43,"No","Yes",0,95112
"0422-OHQHQ","Female",23,"No","Yes",0,93722
"0422-UXFAP","Female",34,"No","Yes",0,92117
"0423-UDIJQ","Male",74,"Yes","No",0,95369
"0426-TIRNE","Female",54,"No","No",0,91316
"0428-AXXLJ","Male",29,"No","No",0,90706
"0428-IKYCP","Male",56,"No","Yes",0,95370
"0430-IHCDJ","Male",40,"No","No",0,92346
"0431-APWVY","Female",37,"No","Yes",0,94949
"0432-CAJZV","Male",47,"No","No",0,92592
"0434-CSFON","Female",34,"No","Yes",0,90071
"0436-TWFFZ","Female",21,"No","No",0,90805
"0439-IFYUN","Female",78,"Yes","No",0,92027
"0440-EKDCF","Male",47,"No","Yes",0,96113
"0440-MOGPM","Female",51,"No","No",0,94954
"0440-QEXBZ","Female",64,"No","No",0,93501
"0440-UEDAI","Female",59,"No","No",0,96014
"0442-TDYUO","Male",44,"No","Yes",0,94922
"0442-ZXKVS","Female",79,"Yes","Yes",0,95316
"0447-BEMNG","Female",28,"No","Yes",0,92397
"0447-RXSGD","Male",39,"No","No",0,93940
"0454-OKRCT","Male",32,"No","No",0,94301
"0455-ENTCR","Male",58,"No","Yes",0,95327
"0455-XFASS","Female",61,"No","Yes",2,95008
"0458-HEUZG","Female",58,"No","No",0,95511
"0459-SPZHJ","Male",19,"No","Yes",0,92843
"0461-CVKMU","Female",45,"No","Yes",0,96069
"0463-TXOAK","Male",26,"No","No",1,95653
"0463-WZZKO","Male",23,"No","No",0,91406
"0463-ZSDNT","Male",23,"No","No",0,92026
"0464-WJTKO","Female",39,"No","Yes",2,96104
"0468-YRPXN","Male",62,"No","No",0,90717
"0471-ARVMX","Female",70,"Yes","Yes",0,95451
"0471-LVHGK","Male",34,"No","Yes",0,95662
"0475-RIJEP","Male",47,"No","No",0,95364
"0479-HMSWA","Female",63,"No","No",1,92672
"0480-BIXDE","Female",58,"No","Yes",0,95903
"0480-KYJVA","Female",42,"No","Yes",3,95835
"0481-SUMCB","Female",74,"Yes","No",0,95947
"0484-FFVBJ","Male",43,"No","No",0,95437
"0484-JPBRU","Male",23,"No","No",0,94954
"0485-ZBSLN","Male",52,"No","Yes",2,92254
"0486-HECZI","Male",37,"No","Yes",1,90504
"0486-LGCCH","Male",48,"No","Yes",2,92394
"0487-CRLZF","Female",58,"No","No",0,92064
"0487-RPVUM","Male",49,"No","Yes",0,95041
"0487-VVUVK","Male",49,"No","Yes",2,93109
"0488-GSLFR","Female",41,"No","No",0,95983
"0489-WMEMG","Female",61,"No","No",3,95550
"0491-KAPQG","Male",28,"No","No",0,91962
"0495-RVCBF","Female",39,"No","No",0,95401
"0495-ZBNGW","Male",78,"Yes","Yes",0,94021
"0496-AHOOK","Male",61,"No","Yes",0,95914
"0504-HHAPI","Female",72,"Yes","No",0,95637
"0505-SPOOW","Female",41,"No","Yes",0,92508
"0506-LVNGN","Female",78,"Yes","No",0,95742
"0506-YLVKJ","Male",54,"No","Yes",1,93666
"0508-OOLTO","Female",33,"No","Yes",1,92310
"0508-SQWPL","Female",32,"No","Yes",3,91941
"0511-JTEOY","Female",41,"No","No",0,95923
"0512-FLFDW","Female",74,"Yes","Yes",0,92060
"0513-RBGPE","Male",57,"No","Yes",0,92091
"0515-YPMCW","Male",42,"No","No",0,95116
"0516-OOHAR","Male",39,"No","Yes",2,90290
"0516-QREYC","Female",78,"Yes","No",0,95607
"0516-UXRMT","Female",27,"No","No",0,93033
"0516-VRYBW","Female",39,"No","No",0,90680
"0516-WJVXC","Female",21,"No","No",0,95818
"0519-DRGTI","Female",58,"No","Yes",3,95219
"0519-XUZJU","Female",56,"No","No",0,95018
"0520-FDVVT","Male",26,"No","No",0,96052
"0523-VNGTF","Female",78,"Yes","No",0,91352
"0524-IAVZO","Female",25,"No","Yes",0,92539
"0526-SXDJP","Male",36,"No","Yes",0,90201
"0529-ONKER","Male",70,"Yes","No",0,95942
"0530-IJVDB","Male",36,"No","No",2,91935
"0531-XBKMM","Male",37,"No","No",2,91702
"0531-ZZJWQ","Male",68,"Yes","Yes",0,92028
"0533-BNWKF","Female",66,"Yes","Yes",0,92122
"0533-UCAAU","Male",72,"Yes","Yes",0,96065
"0536-ACXIP","Female",34,"No","Yes",0,95242
"0536-BGFMZ","Female",27,"No","Yes",0,95585
"0536-ESJEP","Male",48,"No","Yes",0,95975
"0537-QYZZN","Male",66,"Yes","Yes",2,94952
"0541-FITGH","Female",59,"No","Yes",0,95325
"0547-HURJB","Male",19,"No","No",2,95620
"0549-CYCQN","Male",69,"Yes","No",0,96029
"0550-DCXLH","Male",64,"No","No",0,92274
"0556-FJEGU","Male",26,"No","No",0,94549
"0557-ASKVU","Female",43,"No","Yes",0,90210
"0559-CKHUS","Female",44,"No","Yes",0,94588
"0562-FGDCR","Female",61,"No","Yes",3,96096
"0562-HKHML","Male",39,"No","Yes",1,94502
"0562-KBDVM","Female",62,"No","No",0,95638
"0564-JJHGS","Male",45,"No","No",0,95446
"0564-MUUQK","Female",28,"No","Yes",2,91932
"0565-IYCGT","Male",51,"No","No",0,92117
"0565-JUPYD","Male",26,"No","No",0,94510
"0567-GGCAC","Female",38,"No","No",0,93606
"0567-XRHCU","Female",19,"No","Yes",1,90049
"0568-ONFPC","Male",34,"No","Yes",1,94112
"0570-BFQHT","Female",38,"No","No",0,96007
"0572-ZJKLT","Female",32,"No","Yes",1,96020
"0575-CUQOV","Male",76,"Yes","Yes",0,95324
"0576-WNXXC","Male",70,"Yes","Yes",0,93648
"0577-WHMEV","Female",19,"No","Yes",0,95133
"0578-SKVMF","Female",23,"No","Yes",0,92273
"0580-PIQHM","Female",21,"No","Yes",1,92503
"0581-BXBUB","Female",76,"Yes","No",0,95946
"0581-MDMPW","Female",63,"No","No",0,95148
"0582-AVCLN","Female",43,"No","No",0,93304
"0584-BJQGZ","Female",19,"No","No",0,95983
"0585-EGDDA","Male",41,"No","Yes",0,96027
"0587-DMGBH","Female",48,"No","No",0,95988
"0594-UFTUL","Male",35,"No","Yes",3,95655
"0595-ITUDF","Male",21,"No","Yes",1,94930
"0596-BQCEQ","Female",32,"No","Yes",0,95547
"0599-XNYDO","Female",51,"No","Yes",0,95444
"0601-WZHJF","Male",53,"No","Yes",0,93263
"0602-DDUML","Female",21,"No","No",0,92028
"0603-OLQDC","Male",41,"No","No",1,90601
"0603-TPMIB","Female",40,"No","Yes",2,93452
"0604-THJFP","Female",40,"No","Yes",0,94552
"0607-DAAHE","Male",62,"No","No",0,95961
"0607-MVMGC","Male",33,"No","Yes",0,92066
"0608-JDVEC","Male",55,"No","Yes",0,93621
"0611-DFXKO","Male",35,"No","Yes",0,95427
"0612-RTZZA","Female",77,"Yes","No",0,92084
"0613-WUXUM","Female",38,"No","Yes",3,95073
"0616-ATFGB","Male",74,"Yes","Yes",0,96019
"0617-AQNWT","Female",61,"No","Yes",0,91343
"0617-FHSGK","Male",62,"No","No",0,95670
"0618-XWMSS","Male",60,"No","No",0,93280
"0619-OLYUR","Male",32,"No","Yes",0,92840
"0620-DLSLK","Female",47,"No","No",0,91103
"0620-XEFWH","Male",41,"No","Yes",1,96069
"0621-CXBKL","Female",62,"No","No",0,95228
"0621-HJWXJ","Female",54,"No","Yes",0,92618
"0621-JFHOL","Female",41,"No","No",0,91602
"0621-TSSMU","Male",29,"No","Yes",0,90270
"0621-TWIEM","Male",28,"No","No",0,91321
"0623-EJQEG","Male",50,"No","No",0,95247
"0623-GDISB","Female",63,"No","No",0,92673
"0623-IIHUG","Female",77,"Yes","No",0,92122
"0625-AFOHS","Female",40,"No","Yes",1,95536
"0626-QXNGV","Female",55,"No","Yes",0,95521
"0628-CNQRM","Male",49,"No","Yes",0,92592
"0634-SZPQA","Female",64,"No","No",0,94960
"0635-WKOLD","Male",33,"No","Yes",0,95307
"0637-KVDLV","Male",30,"No","No",0,95758
"0637-UBJRP","Male",40,"No","Yes",0,95693
"0637-YLETY","Female",39,"No","No",0,96024
"0639-TSIQW","Female",28,"No","No",0,92282
"0640-YJTPY","Male",19,"No","Yes",1,95977
"0641-EVBOJ","Male",61,"No","No",0,93614
"0643-OKLRP","Female",73,"Yes","Yes",0,91702
"0644-OQMDK","Male",69,"Yes","No",0,95348
"0650-BWOZN","Female",71,"Yes","No",0,92536
"0654-HMSHN","Male",45,"No","Yes",0,93501
"0654-PQKDW","Female",58,"No","Yes",2,94060
"0655-RBDUG","Male",32,"No","No",0,95002
"0655-YDGFJ","Male",34,"No","No",0,92264
"0657-DOGUM","Female",35,"No","Yes",0,91739
"0661-KBKPA","Male",43,"No","Yes",3,93955
"0661-KQHNK","Female",38,"No","Yes",3,96084
"0661-WCQNQ","Male",56,"No","Yes",0,95556
"0661-XEYAN","Female",76,"Yes","No",0,95959
"0665-XHDJU","Male",21,"No","Yes",0,95462
"0666-UXTJO","Male",80,"Yes","Yes",0,92256
"0667-NSRGI","Female",45,"No","Yes",0,95240
"0668-OGMHD","Female",20,"No","Yes",0,95405
"0670-ANMUU","Male",47,"No","No",0,91709
"0670-KDOMA","Female",42,"No","No",0,93610
"0673-IGUQO","Male",26,"No","No",0,92371
"0674-DGMAQ","Male",78,"Yes","Yes",0,95432
"0674-EYYZV","Female",41,"No","No",0,90065
"0674-GCDXG","Male",20,"No","No",0,93308
"0675-NCDYU","Female",61,"No","Yes",2,92870
"0678-RLHVP","Female",33,"No","No",0,94065
"0679-IDSTG","Female",73,"Yes","Yes",0,95417
"0679-TDGAK","Male",29,"No","Yes",1,93727
"0680-DFNNY","Male",62,"No","Yes",0,95694
"0682-USIXD","Female",40,"No","Yes",0,91765
"0684-AOSIH","Male",42,"No","Yes",0,92368
"0685-MLYYM","Female",74,"Yes","No",0,90620
"0687-ZVTHB","Male",24,"No","Yes",0,94805
"0689-DSXGL","Female",61,"No","Yes",1,96097
"0689-NKYLF","Male",42,"No","No",0,90066
"0690-SRQID","Male",20,"No","No",0,95203
"0691-IFBQW","Female",65,"Yes","No",0,93606
"0691-JVSYA","Female",24,"No","Yes",0,91103
"0691-NIKRI","Female",41,"No","No",0,95626
"0696-UKTOX","Male",64,"No","No",1,91343
"0697-ZMSWS","Male",19,"No","No",0,90023
"0699-NDKJM","Female",45,"No","Yes",0,91361
"0701-RFGFI","Female",56,"No","Yes",6,91941
"0701-TJSEF","Male",45,"No","No",0,93105
"0702-PGIBZ","Male",28,"No","No",0,95714
"0704-VCUMB","Female",64,"No","Yes",0,92103
"0707-HOVVN","Female",79,"Yes","No",0,95346
"0708-LGSMF","Male",56,"No","Yes",0,95035
"0708-SJDIS","Female",32,"No","No",0,90069
"0709-TVGUR","Female",70,"Yes","No",0,95207
"0716-BQNDX","Male",77,"Yes","No",0,93637
"0719-SYFRB","Female",52,"No","No",0,92860
"0722-SVSFK","Female",45,"No","No",0,94019
"0722-TROQR","Female",68,"Yes","No",0,95616
"0723-DRCLG","Female",73,"Yes","Yes",0,92028
"0723-FDLAY","Male",54,"No","No",0,95717
"0723-VSOBE","Female",67,"Yes","No",0,95429
"0725-CXOTM","Female",29,"No","No",0,95337
"0727-BMPLR","Female",66,"Yes","No",0,93706
"0727-BNRLG","Male",41,"No","No",0,90064
"0727-IWKVK","Male",35,"No","Yes",0,92398
"0730-BGQGF","Male",48,"No","Yes",3,93433
"0730-KOAVE","Male",53,"No","No",0,94062
"0731-EBJQB","Female",24,"No","Yes",0,90240
"0732-OCQOC","Female",30,"No","Yes",0,92328
"0733-VUNUW","Male",43,"No","No",0,94114
"0734-OXWBT","Male",44,"No","No",1,91722
"0739-UUAJR","Female",61,"No","Yes",1,94040
"0742-LAFQK","Male",52,"No","Yes",0,92833
"0742-MOABM","Male",50,"No","Yes",0,92028
"0742-NXBGR","Female",64,"No","No",0,96006
"0743-HNPFG","Female",50,"No","Yes",0,95920
"0743-HRVFF","Female",42,"No","Yes",3,93309
"0744-BIKKF","Male",39,"No","No",0,92254
"0744-GKNGE","Female",31,"No","Yes",2,90305
"0746-JTRFU","Male",22,"No","No",0,93631
"0748-RDGGM","Male",38,"No","Yes",0,91356
"0749-IRGQE","Female",68,"Yes","Yes",0,90621
"0750-EBAIU","Male",43,"No","No",0,92590
"0750-EKNGL","Male",44,"No","No",0,96046
"0754-EEBDC","Male",25,"No","Yes",1,91723
"0754-UKWQP","Male",63,"No","No",0,95614
"0756-MPZRL","Male",35,"No","No",0,92061
"0757-WCUUZ","Male",29,"No","Yes",3,93529
"0761-AETCS","Female",58,"No","No",0,92324
"0769-MURVM","Female",44,"No","Yes",2,93924
"0771-CHWSK","Male",56,"No","No",0,92227
"0771-WLCLA","Female",49,"No","Yes",1,92315
"0772-GYEQQ","Male",33,"No","No",0,95240
"0774-IFUVM","Male",19,"No","Yes",2,95202
"0774-RMNUW","Female",44,"No","Yes",1,92059
