"account_id","customer_id","tenure_months","num_referrals","has_internet_service","internet_type","has_unlimited_data","has_phone_service","has_multiple_lines","has_premium_tech_support","has_online_security","has_online_backup","has_device_protection","contract_type","paperless_billing","payment_method"
"ACJR-GEHAK","5130-IEKQT",25,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Month-to-Month","No","Credit Card"
"ACJW-LTVNC","8042-JVNFH",1,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"ACKD-UDPLI","6885-PKOAM",71,3,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"ACKK-TZEXP","5524-KHNJP",33,7,"Yes","Cable","Yes","Yes","No","No","Yes","No","Yes","One Year","No","Credit Card"
"ACLC-PRMCH","4827-USJHP",20,0,"Yes","DSL","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Credit Card"
"ACLJ-PVASD","8976-OQHGT",4,5,"Yes","DSL","Yes","Yes","No","Yes","No","Yes","No","Month-to-Month","No","Credit Card"
"ACOG-YBIQX","0281-CNTZX",63,2,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Bank Withdrawal"
"ACRR-TDNAI","3454-JFUBC",68,0,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Credit Card"
"ACRT-ASLPT","9102-OXKFY",59,0,"Yes","Cable","Yes","Yes","Yes","No","No","No","Yes","Two Year","No","Credit Card"
"ACSF-MFCZF","2446-BEGGB",6,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"ACXJ-PKPUC","2792-LSHWX",1,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","No","Month-to-Month","Yes","Credit Card"
"ADCJ-UZYUN","0928-XUTSN",13,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ADCZ-RQOBI","2984-RGEYA",69,9,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"ADGT-CAQML","4726-DLWQN",50,0,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"ADHD-XTYYU","0568-ONFPC",5,1,"No","None","No","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ADKI-PEMCS","2091-RFFBA",31,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ADOH-JDBZE","8590-YFFQO",70,1,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"ADRM-SVMYA","3426-NIYYL",15,0,"Yes","DSL","No","Yes","Yes","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"ADTS-FFMMB","7096-UCLNH",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"ADXE-AJQXW","7446-YPODE",11,0,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","No","Two Year","No","Bank Withdrawal"
"ADYD-REZSM","7750-EYXWZ",12,0,"Yes","Cable","Yes","No","No","Yes","No","Yes","Yes","One Year","No","Bank Withdrawal"
"ADZJ-IEPGE","1415-YFWLT",1,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AEAR-NKQQU","2576-HXMPA",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AEAR-OJGZU","3359-DSRKA",58,9,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Credit Card"
"AEKV-YJJYC","1320-REHCS",52,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AENQ-SYIBG","4957-TREIR",3,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Credit Card"
"AEPR-BBJTO","5149-QYTTU",71,3,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Credit Card"
"AETJ-LEBOS","7089-IVVAZ",8,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AEUA-TAESQ","2176-LVPNX",71,0,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"AEVV-OBGTN","7649-PHJVR",11,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Mailed Check"
"AEXF-BUTTG","8631-NBHFZ",66,1,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"AFAJ-ZLHTG","7025-WCBNE",47,0,"Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","No","Two Year","No","Bank Withdrawal"
"AFCK-QSXGY","6357-JJPQT",3,0,"Yes","Fiber Optic","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AFCP-AGGFB","3831-YCPUO",72,3,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"AFEO-XOOCP","0014-BMAQU",63,8,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","No","No","Two Year","Yes","Credit Card"
"AFGV-EDCCQ","4741-WWJQZ",2,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AFHO-LCFIG","3638-VBZTA",68,0,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No","Two Year","Yes","Bank Withdrawal"
"AFKF-DLQEA","0428-AXXLJ",25,0,"No","None","No","Yes","No","No","No","No","No","One Year","Yes","Bank Withdrawal"
"AFMG-JLRWK","9052-VKDUW",65,8,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","One Year","Yes","Credit Card"
"AFPP-JXMIC","3646-ITDGM",56,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"AFWE-HDSOX","4312-KFRXN",72,2,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"AGBA-YFBCP","8639-NHQEI",72,9,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","No","Two Year","Yes","Bank Withdrawal"
"AGCF-UMQIY","5774-XZTQC",7,3,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AGDJ-KWXRZ","2088-IEBAU",68,0,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AGFC-FPHSS","7271-AJDTL",55,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Month-to-Month","Yes","Credit Card"
"AGFS-GPFWG","6870-ECSHE",2,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"AGHV-LAPLH","6023-YEBUP",3,0,"Yes","Cable","No","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"AGIG-UHCNV","7180-PISOG",1,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AGJF-OATLL","6087-MVHJH",16,0,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"AGJG-ZKKIP","8564-LDKFL",40,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"AGOK-EXYMU","2108-XWMPY",3,0,"Yes","DSL","Yes","No","No","No","Yes","Yes","No","Month-to-Month","Yes","Credit Card"
"AGQJ-FSIVP","8336-TAVKX",72,10,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal"
"AGRZ-LTGHP","3902-FOIGH",12,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"AGTB-DJFML","8402-OOOHJ",41,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"AGXX-KUFPK","1565-RHDJD",4,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Month-to-Month","No","Bank Withdrawal"
"AHDE-GBBAO","5512-IDZEI",46,1,"No","None","No","Yes","Yes","No","No","No","No","One Year","No","Bank Withdrawal"
"AHDR-OUQUJ","0196-JTUQI",9,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card"
"AHFN-WFIHU","4821-SJHJV",32,6,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"AHLW-TGLOA","3963-RYFNS",72,0,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AHPX-PZTWP","6685-GBWJZ",63,6,"Yes","Cable","Yes","Yes","No","Yes","Yes","Yes","No","One Year","No","Credit Card"
"AHSP-YRZKB","8455-HIRAQ",8,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AHUH-KICPS","9518-IMLHK",31,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"AHVR-QIJWE","5472-CVMDX",68,0,"Yes","DSL","Yes","No","No","Yes","Yes","No","Yes","Two Year","No","Credit Card"
"AHXK-HDHHK","6976-BWGLQ",72,1,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Bank Withdrawal"
"AICC-QMOIW","6693-FRIRW",18,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Month-to-Month","No","Credit Card"
"AIET-SRNXM","1709-EJDOX",47,10,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"AIFH-YCIIY","9237-HQITU",2,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AIHJ-ZVAAN","6625-FLENO",58,9,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"AIKX-RZPVA","3584-WKTTW",51,2,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal"
"AIMM-PKXRN","4908-XAXAY",49,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"AIMU-YHUSB","4124-MMETB",22,0,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card"
"AIPP-VTDXJ","0019-EFAEP",72,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AITH-OQNMB","5331-RGMTT",54,0,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"AIVZ-VHWSR","4923-ADWXJ",25,0,"Yes","DSL","Yes","Yes","No","Yes","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"AJAT-HGGSO","7619-ODSGN",24,1,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"AJBQ-PQTIO","3951-NJCVI",42,10,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","No","One Year","Yes","Bank Withdrawal"
"AJHQ-UGVZV","0362-ZBZWJ",36,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AJMK-LYJQW","8849-AYPTR",33,1,"Yes","Fiber Optic","No","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"AJOU-QQPZA","0839-JTCUD",66,9,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"AJQQ-TXBJH","9529-OFXHY",15,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AJRJ-BECCF","6942-LBFDP",2,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Mailed Check"
"AJSM-GBZWP","3061-BCKYI",14,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AJTG-RGRBN","1346-PJWTK",61,1,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","Yes","Month-to-Month","No","Credit Card"
"AKDY-OWUCS","2026-TGDHM",7,0,"Yes","Fiber Optic","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AKFT-JBSKI","4710-FDUIZ",56,2,"Yes","Fiber Optic","No","Yes","Yes","No","No","Yes","No","One Year","No","Credit Card"
"AKHG-BKCPI","0394-YONDK",70,0,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"AKJX-SJSCD","1133-KXCGE",18,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Mailed Check"
"AKMA-IEZLD","0928-JMXNP",4,3,"Yes","DSL","Yes","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal"
"AKUI-DLIRV","0727-IWKVK",9,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"AKUY-MAGKJ","7312-XSBAT",1,0,"Yes","DSL","Yes","Yes","No","No","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"AKWJ-AQWTK","7941-RCJOW",65,0,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Credit Card"
"AKYY-YHDHO","6695-AMZUF",70,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"AKZT-VNFZP","7872-RDDLZ",67,0,"Yes","DSL","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","No","Bank Withdrawal"
"ALDH-KGDIP","7892-QVYKW",23,10,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"ALEA-UWZYK","2740-JFBOK",10,0,"No","None","No","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ALFH-IJFWB","5364-EVNIB",13,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"ALIC-SGOWO","3258-SANFR",6,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"ALJW-HPESX","7538-GWHML",2,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"ALKX-KILBJ","2911-IJORQ",37,0,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal"
"ALLK-GOWPT","9036-CSKBW",51,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","One Year","No","Bank Withdrawal"
"ALNM-XYDWD","5019-GQVCR",43,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Two Year","Yes","Bank Withdrawal"
"ALOU-TYQWV","9928-BZVLZ",12,0,"Yes","DSL","Yes","No","No","Yes","Yes","No","Yes","Two Year","No","Credit Card"
"ALUP-YAIDG","1480-BKXGA",72,5,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"ALYE-SMSWW","0112-QWPNC",49,1,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","No","Yes","One Year","No","Bank Withdrawal"
"ALYJ-RMKSS","8782-LKFPK",44,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"AMCQ-AXZBK","1696-HXOWK",71,6,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","No","One Year","No","Credit Card"
"AMLJ-KDGGM","5832-XKAES",2,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"AMNQ-VZXKW","0298-XACET",52,1,"Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","Two Year","No","Credit Card"
"AMXF-PYLON","6680-NENYN",43,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AMZD-MLPUH","8725-JEDFD",27,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"ANBP-PAPBC","3658-QQJYD",62,0,"Yes","Cable","Yes","Yes","No","No","Yes","Yes","No","One Year","Yes","Credit Card"
"ANGH-RIHWB","5268-DSMNQ",62,5,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Credit Card"
"ANGN-BTTBE","8092-NLTGF",72,0,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Bank Withdrawal"
"ANHZ-YPKAD","7956-XQWGU",27,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"ANNJ-SSJGO","3097-IDVPU",19,10,"Yes","DSL","No","Yes","Yes","No","No","No","No","Month-to-Month","No","Credit Card"
"ANNT-MTQNL","1905-OEILC",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"ANTP-WMTGE","6754-LZUKA",61,1,"Yes","DSL","Yes","Yes","Yes","No","No","Yes","Yes","Two Year","No","Bank Withdrawal"
"ANXM-FDOTY","8231-BSWXX",71,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","One Year","Yes","Credit Card"
"AOFG-EHHQC","1193-RTSLK",38,0,"Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card"
"AOJE-JEJTU","8133-ANHHJ",49,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal"
"AORF-FGNQY","5095-AESKG",3,1,"Yes","Fiber Optic","No","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Credit Card"
"AOSV-AZYDG","5201-USSQZ",26,1,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","No","Month-to-Month","No","Credit Card"
"AOUP-SXBTA","9209-NWPGU",44,0,"Yes","Cable","Yes","Yes","No","Yes","Yes","No","No","One Year","No","Bank Withdrawal"
"AOVW-JVKRU","3556-BVQGL",20,2,"No","None","No","Yes","No","No","No","No","No","One Year","Yes","Credit Card"
"AOXX-EUBFJ","1397-XKKWR",7,0,"Yes","DSL","Yes","No","No","No","Yes","No","Yes","One Year","No","Credit Card"
"AOXZ-MCHLO","5934-RMPOV",22,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"APAA-LWAZR","8125-QPFJD",72,7,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal"
"APET-NQRSQ","3957-SQXML",34,10,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"APPT-DCAUM","3468-DRVQJ",10,5,"Yes","Cable","Yes","Yes","Yes","No","Yes","Yes","No","One Year","No","Bank Withdrawal"
"APRD-GZCBE","6169-PGNCD",57,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"APSJ-BDCBH","3524-WQDSG",43,8,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"APVU-UUVGH","5293-WXJAK",11,5,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"APXE-LIKWX","8443-WVPSS",10,5,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"APXG-ANVQG","7838-LAZFO",45,6,"Yes","Cable","Yes","Yes","No","No","Yes","Yes","Yes","One Year","No","Bank Withdrawal"
"APXS-LQGAG","5275-SQEIZ",1,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"AQAI-DLSSB","6258-NGCNG",7,0,"No","None","No","Yes","Yes","No","No","No","No","Month-to-Month","No","Credit Card"
"AQCC-MZWIM","2777-PHDEI",1,0,"Yes","Fiber Optic","No","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"AQCV-BEDYN","0562-HKHML",71,9,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"AQDL-ZDHCF","7613-LLQFO",12,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AQGH-TIUQR","4293-ETKAP",65,10,"Yes","Cable","Yes","Yes","Yes","Yes","No","Yes","No","Two Year","Yes","Bank Withdrawal"
"AQIO-NDEML","1899-VXWXM",48,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Credit Card"
"AQLJ-RJMAB","6284-AHOOQ",22,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"AQNS-LVUPF","2439-LYPMQ",38,7,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AQQD-WGXMK","6992-TKNYO",38,2,"Yes","DSL","Yes","Yes","Yes","Yes","No","No","Yes","One Year","No","Credit Card"
"AQQO-QEFLK","3374-PZLXD",34,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AQUG-OXKDE","3606-SBKRY",31,0,"Yes","DSL","Yes","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal"
"AQVG-LYKQX","5949-XIKAE",8,1,"Yes","Cable","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"ARAA-XSJEP","2984-MIIZL",4,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"ARFU-NYLGK","4816-OKWNX",50,2,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"ARGQ-DLLNS","9053-EJUNL",41,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"ARJS-UXHDP","4822-NGOCH",13,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"ARLZ-XTZSY","4958-GZWIY",7,1,"Yes","DSL","Yes","Yes","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal"
"AROR-PPRDF","6542-LWGXJ",3,1,"Yes","DSL","Yes","No","No","No","No","No","No","Month-to-Month","No","Credit Card"
"AROW-KNPTM","8245-UMPYT",16,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ARQG-LSROP","9822-BIIGN",53,0,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"ARTL-XMNYY","8849-PRIQJ",67,7,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal"
"ARTP-ANABM","2550-AEVRU",57,1,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","One Year","No","Bank Withdrawal"
"ARXF-MLUHS","6177-PEVRA",48,0,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","Two Year","No","Credit Card"
"ARYJ-MGJIZ","4983-CLMLV",52,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","No","Month-to-Month","Yes","Credit Card"
"ASAO-LEUAZ","3144-KMTWZ",71,8,"Yes","Fiber Optic","No","Yes","Yes","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"ASAZ-XZYRL","8932-CZHRQ",68,0,"Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Yes","One Year","No","Credit Card"
"ASCI-CCRTM","7359-PTSXY",1,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"ASKD-HPTRN","0254-FNMCI",72,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"ASTS-TYCPL","9681-OXGVC",5,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
