"account_id","avg_long_distance_fee_monthly","total_long_distance_fee","avg_gb_download_monthly","stream_tv","stream_movie","stream_music","total_monthly_fee","total_charges_quarter","total_refunds"
"ADGT-CAQML",25.23,1261.5,23,"Yes","No","No",70.35,3454.6,0.0
"ADHD-XTYYU",40.05,200.25,0,"No","No","No",25.9,135.0,0.0
"ADKI-PEMCS",15.43,478.33,2,"No","No","No",73.9,2217.15,0.0
"ADOH-JDBZE",1.63,114.1,41,"No","No","No",64.95,4523.25,42.89
"ADRM-SVMYA",3.15,47.25,26,"No","No","No",51.55,765.5,0.0
"ADTS-FFMMB",11.1,11.1,0,"No","No","No",20.05,20.05,0.0
"ADXE-AJQXW",48.33,531.63,17,"No","No","No",60.25,662.95,0.0
"ADYD-REZSM",0.0,0.0,24,"Yes","Yes","Yes",60.65,743.3,40.41
"ADZJ-IEPGE",30.23,30.23,30,"Yes","Yes","No",89.3,89.3,0.0
"AEAR-NKQQU",8.23,8.23,0,"No","No","No",19.55,19.55,0.0
"AEAR-OJGZU",11.81,684.98,0,"No","No","No",19.85,1158.85,0.0
"AEKV-YJJYC",23.04,1198.08,25,"Yes","Yes","Yes",110.75,5832.0,6.26
"AENQ-SYIBG",38.05,114.15,7,"Yes","No","No",64.4,195.65,0.0
"AEPR-BBJTO",34.53,2451.63,19,"No","No","No",95.15,6770.85,0.0
"AETJ-LEBOS",19.68,157.44,41,"Yes","Yes","Yes",103.35,847.3,0.0
"AEUA-TAESQ",37.39,2654.69,22,"Yes","Yes","No",89.85,6293.45,0.0
"AEVV-OBGTN",33.48,368.28,0,"No","No","No",19.5,226.8,0.0
"AEXF-BUTTG",30.03,1981.98,15,"Yes","No","No",79.4,5154.6,0.0
"AFAJ-ZLHTG",14.78,694.66,10,"No","No","No",59.6,2754.0,0.0
"AFCK-QSXGY",26.86,80.58,5,"Yes","No","No",80.5,232.35,0.0
"AFCP-AGGFB",32.23,2320.56,19,"Yes","Yes","Yes",109.5,7854.9,0.0
"AFEO-XOOCP",12.96,816.48,7,"No","No","No",84.65,5377.8,0.0
"AFGV-EDCCQ",26.58,53.16,23,"No","No","No",80.15,194.55,0.0
"AFHO-LCFIG",11.5,782.0,29,"Yes","Yes","Yes",86.5,5882.75,0.0
"AFKF-DLQEA",3.58,89.5,0,"No","No","No",19.5,516.3,0.0
"AFMG-JLRWK",15.3,994.5,29,"Yes","Yes","No",109.4,7227.45,0.0
"AFPP-JXMIC",32.88,1841.28,0,"No","No","No",19.7,1051.9,0.0
"AFWE-HDSOX",34.29,2468.88,0,"No","No","No",25.4,1710.9,0.0
"AGBA-YFBCP",11.85,853.2,59,"Yes","No","No",95.9,6954.15,0.0
"AGCF-UMQIY",5.84,40.88,0,"No","No","No",20.45,150.75,0.0
"AGDJ-KWXRZ",21.82,1483.76,2,"Yes","Yes","Yes",88.15,6148.45,36.29
"AGFC-FPHSS",34.61,1903.55,16,"Yes","No","No",94.45,5073.1,0.0
"AGFS-GPFWG",46.0,92.0,0,"No","No","No",20.45,34.8,0.0
"AGHV-LAPLH",11.94,35.82,30,"Yes","Yes","Yes",100.95,329.95,0.0
"AGIG-UHCNV",36.44,36.44,16,"No","No","No",74.5,74.5,0.0
"AGJF-OATLL",17.8,284.8,5,"No","Yes","Yes",88.45,1422.1,0.0
"AGJG-ZKKIP",29.46,1178.4,28,"Yes","Yes","Yes",106.0,4178.65,47.02
"AGOK-EXYMU",0.0,0.0,85,"No","No","No",35.45,106.85,0.0
"AGQJ-FSIVP",15.82,1139.04,13,"No","Yes","Yes",78.45,5682.25,0.0
"AGRZ-LTGHP",48.5,582.0,4,"Yes","Yes","No",101.35,1218.55,0.0
"AGTB-DJFML",31.62,1296.42,0,"No","No","No",20.65,835.15,0.0
"AGXX-KUFPK",41.72,166.88,69,"No","No","Yes",84.05,333.55,0.0
"AHDE-GBBAO",18.45,848.7,0,"No","No","No",24.9,1174.8,0.0
"AHDR-OUQUJ",9.27,83.43,28,"No","No","No",75.2,633.85,0.0
"AHFN-WFIHU",48.49,1551.68,82,"Yes","No","No",89.6,2901.8,0.0
"AHLW-TGLOA",48.52,3493.44,51,"Yes","Yes","Yes",116.45,8013.55,0.0
"AHPX-PZTWP",46.99,2960.37,13,"Yes","No","No",70.8,4448.8,0.0
"AHSP-YRZKB",10.91,87.28,16,"No","No","No",44.45,369.3,0.0
"AHUH-KICPS",41.23,1278.13,27,"Yes","No","No",72.45,2156.25,0.0
"AHVR-QIJWE",0.0,0.0,58,"No","No","No",38.9,2719.2,0.0
"AHXK-HDHHK",39.3,2829.6,0,"No","No","No",25.2,1787.35,0.0
"AICC-QMOIW",7.56,136.08,20,"Yes","Yes","Yes",101.3,1794.65,0.0
"AIET-SRNXM",41.54,1952.38,0,"No","No","No",19.75,948.9,0.0
"AIFH-YCIIY",9.12,18.24,51,"No","No","No",70.7,151.65,0.0
"AIHJ-ZVAAN",18.68,1083.44,0,"No","No","No",20.75,1185.95,0.0
"AIKX-RZPVA",39.32,2005.32,76,"Yes","Yes","Yes",111.55,5720.35,0.0
"AIMM-PKXRN",47.72,2338.28,21,"No","Yes","No",89.85,4287.2,0.0
"AIMU-YHUSB",46.28,1018.16,16,"Yes","Yes","Yes",94.65,2104.55,0.0
"AIPP-VTDXJ",2.25,162.0,16,"Yes","No","No",101.3,7261.25,0.0
"AITH-OQNMB",38.48,2077.92,13,"Yes","Yes","No",99.05,5295.7,0.0
"AIVZ-VHWSR",1.22,30.5,10,"No","Yes","Yes",65.8,1679.65,29.29
"AJAT-HGGSO",17.27,414.48,18,"No","No","No",54.75,1338.15,0.0
"AJBQ-PQTIO",42.29,1776.18,10,"Yes","Yes","No",95.05,3944.5,0.0
"AJHQ-UGVZV",24.66,887.76,22,"No","Yes","Yes",84.9,3067.2,0.0
"AJMK-LYJQW",26.8,884.4,17,"Yes","Yes","Yes",91.25,2964.05,0.0
"AJOU-QQPZA",36.36,2399.76,3,"Yes","Yes","Yes",89.9,5958.85,0.0
"AJQQ-TXBJH",13.8,207.0,59,"Yes","No","No",87.75,1242.2,0.0
"AJRJ-BECCF",16.7,33.4,0,"No","No","No",20.55,33.6,0.0
"AJSM-GBZWP",43.5,609.0,0,"No","No","No",19.9,283.75,0.0
"AJTG-RGRBN",17.73,1081.53,2,"No","Yes","Yes",94.15,5731.85,0.0
"AKDY-OWUCS",19.21,134.47,16,"No","Yes","Yes",79.3,523.15,0.0
"AKFT-JBSKI",26.15,1464.4,7,"Yes","Yes","Yes",100.3,5614.45,0.0
"AKHG-BKCPI",1.22,85.4,0,"No","No","No",25.15,1790.15,0.0
"AKJX-SJSCD",18.8,338.4,0,"No","No","No",20.1,407.05,0.0
"AKMA-IEZLD",0.0,0.0,5,"No","No","No",29.9,118.25,0.0
"AKUI-DLIRV",19.18,172.62,27,"No","No","No",79.9,741.7,0.0
"AKUY-MAGKJ",41.79,41.79,14,"No","No","No",49.75,49.75,0.0
"AKWJ-AQWTK",44.7,2905.5,0,"No","No","No",19.55,1218.65,0.0
"AKYY-YHDHO",31.15,2180.5,5,"Yes","Yes","Yes",86.45,5950.2,0.0
"AKZT-VNFZP",48.43,3244.81,28,"No","No","No",54.9,3725.5,0.0
"ALDH-KGDIP",9.84,226.32,71,"No","Yes","Yes",85.6,1868.4,0.0
"ALEA-UWZYK",3.01,30.1,0,"No","No","No",24.0,226.55,0.0
"ALFH-IJFWB",30.88,401.44,3,"No","No","No",79.8,973.45,0.0
"ALIC-SGOWO",19.74,118.44,7,"No","No","No",44.7,276.5,0.0
"ALJW-HPESX",7.64,15.28,27,"No","No","No",69.65,145.15,0.0
"ALKX-KILBJ",44.52,1647.24,6,"Yes","Yes","Yes",90.6,3358.65,8.96
"ALLK-GOWPT",7.54,384.54,6,"Yes","Yes","Yes",107.45,5680.9,14.76
"ALNM-XYDWD",8.81,378.83,7,"Yes","No","No",84.85,3645.6,0.0
"ALOU-TYQWV",0.0,0.0,7,"No","Yes","Yes",49.85,552.1,0.0
"ALUP-YAIDG",21.37,1538.64,13,"Yes","Yes","Yes",116.05,8404.9,0.0
"ALYE-SMSWW",39.55,1937.95,10,"Yes","Yes","Yes",84.35,4059.35,0.0
"ALYJ-RMKSS",44.92,1976.48,16,"No","Yes","Yes",90.4,4063.0,0.0
"AMCQ-AXZBK",5.22,370.62,10,"Yes","No","No",95.65,6856.95,0.0
"AMLJ-KDGGM",37.72,75.44,27,"No","No","No",69.8,134.7,0.0
"AMNQ-VZXKW",0.0,0.0,17,"Yes","No","No",50.2,2554.0,27.01
"AMXF-PYLON",12.88,553.84,59,"Yes","Yes","Yes",104.6,4759.85,0.0
"AMZD-MLPUH",34.98,944.46,26,"No","No","No",69.05,1793.25,22.72
"ANBP-PAPBC",38.33,2376.46,30,"Yes","Yes","Yes",74.3,4698.05,0.0
"ANGH-RIHWB",11.41,707.42,25,"Yes","No","No",97.95,5936.55,0.0
"ANGN-BTTBE",29.29,2108.88,0,"No","No","No",24.75,1777.6,0.0
"ANHZ-YPKAD",2.59,69.93,0,"No","No","No",19.4,460.25,29.59
"ANNJ-SSJGO",9.47,179.93,13,"No","No","No",50.1,910.45,0.0
"ANNT-MTQNL",20.11,20.11,0,"No","No","No",19.5,19.5,0.0
"ANTP-WMTGE",23.31,1421.91,51,"Yes","Yes","Yes",80.9,4932.5,0.0
"ANXM-FDOTY",41.34,2935.14,10,"No","No","No",79.05,5552.5,0.0
"AOFG-EHHQC",36.18,1374.84,48,"No","No","Yes",83.9,3233.6,0.0
"AOJE-JEJTU",36.47,1787.03,21,"No","Yes","Yes",103.0,5166.2,0.0
"AORF-FGNQY",31.61,94.83,20,"No","Yes","Yes",91.5,242.95,0.0
"AOSV-AZYDG",42.26,1098.76,2,"No","Yes","Yes",85.9,2196.45,0.0
"AOUP-SXBTA",34.98,1539.12,2,"Yes","No","No",65.4,2774.55,0.0
"AOVW-JVKRU",19.15,383.0,0,"No","No","No",20.0,416.45,0.0
"AOXX-EUBFJ",0.0,0.0,14,"No","No","No",35.3,264.8,0.0
"AOXZ-MCHLO",33.73,742.06,19,"No","Yes","Yes",84.75,1816.75,0.0
"APAA-LWAZR",1.34,96.48,19,"Yes","Yes","Yes",84.9,6065.3,0.0
"APET-NQRSQ",25.21,857.14,0,"No","No","No",24.95,894.3,0.0
"APPT-DCAUM",26.37,263.7,26,"Yes","No","No",70.3,676.15,0.0
"APRD-GZCBE",6.45,367.65,3,"Yes","No","No",74.3,4166.35,0.0
"APSJ-BDCBH",5.25,225.75,59,"Yes","Yes","Yes",99.3,4209.95,0.0
"APVU-UUVGH",17.25,189.75,27,"Yes","Yes","No",104.05,1133.65,0.0
"APXE-LIKWX",43.28,432.8,12,"Yes","Yes","Yes",99.85,990.9,0.0
"APXG-ANVQG",9.91,445.95,19,"Yes","Yes","Yes",78.8,3597.5,23.28
"APXS-LQGAG",14.91,14.91,21,"No","Yes","Yes",80.85,80.85,0.0
"AQAI-DLSSB",1.41,9.87,0,"No","No","No",23.5,173.0,0.0
"AQCC-MZWIM",29.41,29.41,59,"Yes","No","Yes",78.05,78.05,0.0
"AQCV-BEDYN",18.99,1348.29,0,"No","No","No",23.9,1626.4,0.0
"AQDL-ZDHCF",12.36,148.32,23,"Yes","No","No",84.45,1059.55,0.0
"AQGH-TIUQR",1.83,118.95,13,"Yes","Yes","Yes",79.4,5071.9,0.0
"AQIO-NDEML",24.73,1187.04,4,"Yes","Yes","Yes",106.1,5082.8,0.0
"AQLJ-RJMAB",46.11,1014.42,27,"Yes","No","No",90.5,1910.6,0.0
"AQNS-LVUPF",4.75,180.5,24,"Yes","Yes","No",102.6,4009.2,45.81
"AQQD-WGXMK",32.11,1220.18,16,"No","Yes","Yes",69.0,2669.45,0.0
"AQQO-QEFLK",36.52,1241.68,0,"No","No","No",19.7,675.6,0.0
"AQUG-OXKDE",0.0,0.0,5,"Yes","Yes","Yes",50.05,1523.4,0.0
"AQVG-LYKQX",32.32,258.56,25,"Yes","No","No",83.55,680.05,0.0
"ARAA-XSJEP",7.26,29.04,29,"No","No","No",74.8,321.9,0.0
"ARFU-NYLGK",36.21,1810.5,22,"Yes","Yes","Yes",103.4,5236.4,0.0
"ARGQ-DLLNS",41.85,1715.85,16,"Yes","No","No",89.2,3645.75,2.21
"ARJS-UXHDP",21.88,284.44,4,"No","No","No",84.45,1058.6,0.0
"ARLZ-XTZSY",5.13,35.91,4,"No","No","No",48.7,340.25,0.0
"AROR-PPRDF",0.0,0.0,12,"No","No","No",25.0,78.25,0.0
"AROW-KNPTM",32.11,513.76,14,"Yes","Yes","No",96.4,1581.2,47.2
"ARQG-LSROP",27.56,1460.68,26,"No","Yes","Yes",71.85,3827.9,0.0
"ARTL-XMNYY",3.3,221.1,19,"Yes","Yes","Yes",109.4,7281.6,38.34
"ARTP-ANABM",17.01,969.57,11,"No","No","No",53.45,3053.0,0.0
"ARXF-MLUHS",13.03,625.44,5,"No","No","No",55.5,2627.35,0.0
"ARYJ-MGJIZ",44.34,2305.68,71,"Yes","Yes","Yes",102.7,5138.1,0.0
"ASAO-LEUAZ",26.56,1885.76,7,"No","Yes","Yes",93.25,6669.45,0.0
"ASAZ-XZYRL",20.29,1379.72,29,"No","Yes","Yes",76.75,5233.25,0.0
"ASCI-CCRTM",24.24,24.24,28,"No","No","No",45.75,45.75,0.0
"ASKD-HPTRN",41.91,3017.52,73,"Yes","Yes","Yes",109.9,7624.2,0.0
"ASTS-TYCPL",28.2,141.0,29,"Yes","Yes","Yes",100.5,514.0,0.0
"ASXN-EPDHL",43.52,43.52,0,"No","No","No",20.2,20.2,0.0
"ATAO-SFZZG",34.92,419.04,23,"Yes","Yes","Yes",98.9,1120.95,0.0
"ATCR-QWVQJ",9.41,94.1,69,"No","No","No",55.2,528.35,0.0
"ATEU-TRKUG",49.96,2997.6,85,"Yes","Yes","Yes",84.95,4984.85,0.0
"ATFS-SERTR",0.0,0.0,19,"No","No","No",40.65,947.4,0.0
"ATGU-QWRKY",28.42,625.24,73,"Yes","Yes","Yes",100.65,2415.95,5.01
"ATHM-DDARH",43.95,835.05,20,"Yes","Yes","Yes",100.0,1888.65,0.0
"ATHR-AHIKP",29.0,232.0,30,"No","Yes","Yes",84.9,764.95,0.0
"ATLQ-YOEET",31.14,467.1,0,"No","No","No",20.0,288.05,0.0
"ATMF-DSTDZ",2.76,80.04,0,"No","No","No",19.35,601.6,0.0
"ATQQ-SJVWJ",0.0,0.0,52,"Yes","Yes","Yes",66.25,3330.1,0.0
"ATTL-MTFPK",4.45,213.6,57,"No","Yes","Yes",70.1,3238.4,0.0
"ATVC-VLNMV",16.32,48.96,0,"No","No","No",19.1,53.05,0.0
"ATYW-PSFEO",43.24,2594.4,28,"No","No","No",60.5,3694.45,0.0
"AUEA-GWKYJ",21.11,189.99,6,"No","No","No",75.6,661.55,0.0
"AUHC-YIGIL",30.09,451.35,71,"No","No","No",75.35,1114.55,0.0
"AUKN-EKGYO",22.83,1552.44,0,"No","No","No",25.25,1728.2,0.0
"AUNJ-EMNUF",24.65,295.8,0,"No","No","No",20.1,232.4,0.0
"AUVC-CVWLX",16.39,967.01,14,"Yes","No","No",94.75,5597.65,0.0
"AVAH-KVLZW",8.91,53.46,27,"No","No","No",74.4,434.1,0.0
"AVAQ-OETUB",19.3,617.6,47,"No","No","No",75.5,2324.7,0.0
"AVGK-WVETB",37.7,829.4,0,"No","No","No",20.25,488.25,0.0
"AVGM-DWSCS",24.93,1745.1,15,"No","Yes","Yes",67.95,4664.15,0.0
"AVGM-WSWSR",48.58,3011.96,13,"Yes","Yes","Yes",100.15,6283.3,0.0
"AVGO-DCVES",0.0,0.0,3,"No","No","No",30.75,82.85,0.0
"AVGP-PBYUQ",24.48,1762.56,69,"Yes","Yes","Yes",83.3,6042.7,0.0
"AVGW-INZDN",0.0,0.0,28,"Yes","No","No",47.85,1190.5,0.0
"AVJD-EICRB",1.16,12.76,41,"No","No","No",54.6,617.85,0.0
"AVJV-TAIFQ",24.08,1637.44,41,"No","No","No",80.35,5375.15,0.0
"AVNF-ALCVL",42.29,211.45,16,"No","No","No",85.4,401.1,45.37
"AVNK-ZHMED",18.42,1307.82,29,"Yes","Yes","Yes",90.35,6325.25,0.0
"AVUC-QTIFM",36.33,36.33,4,"Yes","No","No",54.65,54.65,0.0
"AVWB-HVPXC",49.75,2189.0,2,"Yes","Yes","No",109.8,4860.35,0.0
"AVXS-EDFMO",0.0,0.0,17,"Yes","Yes","Yes",54.0,2440.25,5.47
"AVYN-DGJBS",0.0,0.0,8,"No","No","No",29.75,301.9,0.0
"AVZR-YEIHL",9.43,150.88,9,"Yes","Yes","Yes",94.45,1511.2,0.0
"AWCD-JIOTX",23.05,1313.85,30,"No","Yes","No",94.0,5438.95,0.0
"AWDI-XRVCT",48.73,974.6,12,"No","Yes","No",94.1,1782.4,0.0
"AWGX-HLHWT",15.59,732.73,52,"No","Yes","Yes",96.1,4391.45,0.0
"AWIE-QOHNK",49.74,447.66,0,"No","No","No",18.95,185.6,0.0
"AWKP-AMEVV",16.19,16.19,12,"No","No","No",69.1,69.1,0.0
"AWMK-IQPIF",24.12,361.8,13,"Yes","Yes","Yes",101.75,1669.4,0.0
"AWOF-FNFOH",12.84,924.48,22,"Yes","Yes","Yes",83.6,5959.3,0.0
"AWQD-JCOYW",27.17,54.34,23,"No","Yes","Yes",90.75,174.75,0.0
"AWQF-OYJHM",28.65,401.1,27,"Yes","No","No",89.95,1178.4,0.0
"AWQO-ZSMOL",40.17,642.72,0,"No","No","No",19.75,284.35,0.0
"AWSX-REUYW",28.53,1968.57,24,"No","Yes","Yes",93.3,6398.05,0.0
"AWTI-ZMWKJ",0.0,0.0,16,"No","No","No",25.25,186.3,0.0
"AWTU-WCJMS",49.19,541.09,0,"No","No","No",20.0,196.35,0.0
"AWXY-GSFCM",44.85,2466.75,48,"No","No","No",84.25,4589.85,0.0
"AWZC-IUCWU",4.13,4.13,51,"No","No","No",75.3,75.3,0.0
"AXAL-YHRBL",10.07,473.29,0,"No","No","No",25.4,1139.2,0.0
"AXCN-COBFZ",31.29,1877.4,0,"No","No","No",20.5,1198.8,0.0
"AXEJ-XVQFX",0.0,0.0,52,"No","No","No",25.15,25.15,0.0
"AXFR-QWPFD",21.98,1142.96,0,"No","No","No",19.65,1025.05,0.0
"AXHE-KTVGM",44.97,809.46,7,"No","No","No",54.4,957.1,0.0
"AXIL-BHOJG",29.55,561.45,13,"Yes","No","No",78.7,1495.1,26.84
"AXJE-GOQZI",30.06,2104.2,24,"Yes","Yes","Yes",85.95,5931.75,0.0
"AXJM-CETKE",8.02,8.02,0,"No","No","No",19.5,19.5,0.0
"AXPE-PUKUR",10.1,30.3,73,"No","No","No",74.55,233.65,0.0
"AXQC-PDIWJ",27.7,1523.5,0,"No","No","No",19.15,998.1,0.0
"AXQR-DSXGC",25.73,205.84,19,"No","Yes","Yes",84.5,662.65,33.21
"AXSL-XXULF",24.16,628.16,22,"No","No","No",80.5,2088.8,0.0
"AXXS-XDEFL",10.08,10.08,18,"No","No","No",69.2,69.2,0.0
"AYAX-CVSQV",43.82,43.82,0,"No","No","No",20.45,20.45,0.0
"AYBO-DMVWT",10.6,31.8,73,"No","Yes","Yes",85.8,272.2,0.0
"AYDF-TQZHT",33.73,1517.85,30,"Yes","Yes","Yes",115.65,5125.5,0.0
"AYEN-HFPWT",15.2,653.6,21,"No","No","No",84.25,3539.25,0.0
"AYHI-XUYMV",9.0,9.0,53,"No","No","No",49.9,49.9,0.0
"AYIR-JFIQJ",48.88,3372.72,4,"Yes","Yes","No",108.4,7318.2,0.0
"AYIV-MIGQO",35.65,1746.85,3,"No","No","No",43.8,2106.05,20.45
"AYLM-DKQGY",35.62,2564.64,0,"No","No","No",25.1,1857.85,0.0
"AYMD-DVNWH",11.02,793.44,17,"No","No","No",94.25,6849.75,0.0
"AYPM-JFUDZ",6.5,26.0,73,"No","No","No",80.15,319.85,0.0
"AYTJ-PGIRY",5.17,325.71,16,"Yes","Yes","Yes",108.25,6780.1,0.0
"AYUF-ZKGTF",20.14,765.32,13,"No","No","No",66.15,2522.4,0.0
"AYUM-HBREB",15.53,139.77,14,"Yes","Yes","Yes",94.05,811.65,0.0
"AYXY-YUILU",37.79,302.32,25,"No","No","No",49.85,365.55,13.01
"AZAT-PCPYL",41.15,2427.85,48,"No","Yes","Yes",107.0,6152.3,0.0
"AZCP-QIIOJ",22.23,844.74,0,"No","No","No",20.1,730.1,0.0
"AZEI-TPCKG",42.37,2372.72,71,"Yes","Yes","Yes",99.8,5515.45,0.0
"AZGK-DCOTP",17.01,170.1,0,"No","No","No",24.5,270.15,0.0
"AZIB-AHJTK",46.99,751.84,17,"No","No","No",72.65,1194.3,0.0
"AZIC-HXGDW",6.85,493.2,19,"No","No","No",70.45,5165.7,0.0
"AZIR-HRLWN",30.38,30.38,0,"No","No","No",19.75,19.75,0.0
"AZKJ-IDCJI",23.04,92.16,0,"No","No","No",19.7,117.8,0.0
"AZOC-FJGRE",11.76,635.04,52,"No","Yes","Yes",95.1,5064.85,0.0
"AZOP-YUSGE",0.0,0.0,18,"Yes","Yes","Yes",64.8,4719.75,0.0
"AZQB-IPFTC",32.95,32.95,0,"No","No","No",24.0,24.0,0.0
"AZSF-KLNAX",47.72,3340.4,28,"Yes","Yes","Yes",79.6,5589.45,42.34
"AZUV-ZEIEV",26.09,730.52,0,"No","No","No",20.25,535.35,0.0
"AZYM-MYEHP",37.53,675.54,0,"No","No","No",20.35,369.6,0.0
"BABQ-EWXNK",28.59,514.62,26,"No","Yes","Yes",90.7,1597.25,0.0
"BACM-PQLFS",0.0,0.0,28,"Yes","Yes","Yes",54.65,3632.0,46.75
"BAOL-XKIMG",44.36,177.44,20,"No","Yes","Yes",86.05,308.1,0.0
"BARX-QCBBR",29.0,2088.0,22,"Yes","Yes","Yes",113.65,8182.75,0.0
"BAUZ-IHVDN",13.13,13.13,57,"Yes","No","No",79.35,79.35,0.0
"BAVR-NJAUC",14.02,14.02,2,"No","No","No",74.35,74.35,0.0
"BAXS-XJFZX",25.17,176.19,17,"No","No","No",75.35,564.65,0.0
"BAXX-FKBHP",33.32,1099.56,4,"Yes","Yes","Yes",73.9,2405.05,0.0
"BAYK-ZYIDG",9.09,236.34,12,"Yes","No","No",89.15,2277.65,0.0
"BBEX-XWMEP",14.87,951.68,16,"No","No","No",80.3,5017.7,0.0
"BBFZ-HQCWW",37.02,1702.92,6,"Yes","No","No",64.2,3009.5,0.0
"BBIO-PWGIS",12.68,50.72,10,"Yes","Yes","Yes",99.8,442.85,0.0
"BBJG-SXWMM",24.24,24.24,9,"No","No","No",49.55,49.55,0.0
"BBMS-RVWSA",28.18,479.06,16,"Yes","Yes","No",100.45,1622.45,0.0
"BBVR-TUZSR",39.67,2459.54,41,"No","No","No",81.45,4983.05,14.15
"BBWH-EOLWD",35.29,1729.21,28,"No","No","No",61.75,3024.15,0.0
"BCEY-LBHMU",16.67,183.37,0,"No","No","No",20.45,250.8,0.0
"BCLO-HESNV",42.33,2455.14,7,"No","No","No",71.1,4299.2,0.0
"BCLZ-TQOTG",44.86,672.9,52,"No","No","Yes",76.0,1130.85,0.0
"BCSW-PRSTA",22.71,1317.18,14,"No","No","No",79.8,4526.85,0.0
"BCSZ-CEGOK",0.0,0.0,19,"No","No","No",46.35,3353.4,18.64
"BCTM-VXGOD",35.09,140.36,30,"No","No","No",45.25,155.35,0.0
"BCXA-GYKLK",18.15,1306.8,16,"Yes","Yes","Yes",105.75,7629.85,0.0
"BCXG-UZDNQ",22.65,1177.8,0,"No","No","No",19.65,928.4,0.0
"BDBO-CHVUQ",0.0,0.0,28,"No","Yes","Yes",41.15,132.2,0.0
"BDBT-JCLKS",0.0,0.0,59,"Yes","Yes","Yes",51.0,305.95,0.0
"BDBU-LHVIV",15.51,573.87,0,"No","No","No",19.85,717.5,0.0
"BDFV-JZYNS",7.49,14.98,14,"No","No","No",70.4,154.8,0.0
"BDGO-JVRIE",0.0,0.0,30,"Yes","No","No",39.05,669.85,0.0
"BDHY-QZLQF",31.26,656.46,0,"No","No","No",24.7,467.15,0.0
"BDMF-IFXDM",17.65,176.5,20,"No","Yes","Yes",86.45,830.85,0.0
"BDML-SQQDA",37.97,189.85,0,"No","No","No",19.55,99.6,0.0
"BDRX-EOAIX",0.0,0.0,14,"No","No","No",30.5,208.7,0.0
"BDTL-BZSAD",2.8,156.8,20,"No","No","No",90.55,5116.6,0.0
"BDUN-BTGTO",29.93,1735.94,24,"Yes","No","No",82.5,4828.05,0.0
"BDUO-YMIGR",39.63,79.26,23,"No","Yes","No",79.75,159.4,0.0
"BDWQ-NQUFT",6.22,93.3,4,"No","No","No",84.35,1302.65,0.0
