churn_label,age,tenure_months,has_internet_service,has_phone_service,has_premium_tech_support,has_online_security,contract_type,paperless_billing,total_monthly_fee,total_charges_quarter
0,35,52,1,0,1,0,2,0,50.2,2554.0
0,61,72,1,0,1,1,2,1,63.8,4684.3
0,54,11,1,0,1,1,1,1,36.05,402.6
0,80,71,1,1,1,0,1,0,105.75,7382.85
0,23,11,1,0,1,0,1,1,40.4,422.6
0,50,71,1,1,1,1,1,1,84.8,6046.1
0,56,9,0,1,0,0,0,0,19.85,178.8
0,29,6,1,1,0,1,0,0,55.15,322.9
0,54,11,1,1,0,0,0,0,84.8,888.75
0,25,3,1,1,0,0,0,1,58.7,168.6
1,63,2,1,1,0,0,0,0,45.35,89.5
1,44,8,1,1,0,0,0,1,94.7,740.3
1,43,1,1,1,0,0,0,1,70.1,70.1
0,41,55,1,1,1,1,1,1,66.05,3462.1
0,43,72,1,0,1,1,2,1,61.2,4390.25
1,63,41,1,1,0,0,0,1,106.3,4443.45
0,29,46,1,1,1,0,2,1,108.9,4854.3
0,46,15,0,1,0,0,0,0,19.9,320.45
0,54,11,1,1,0,0,0,1,45.9,521.9
0,38,68,1,0,1,1,2,0,64.35,4539.6
1,46,36,1,1,0,0,0,1,84.9,3067.2
0,42,2,0,1,0,0,0,0,19.35,46.35
0,63,1,1,1,0,1,0,0,50.15,50.15
0,62,3,1,1,0,0,0,0,44.6,122.7
0,24,36,1,1,0,1,0,1,93.6,3366.05
1,21,23,1,1,1,0,0,1,90.6,1943.2
0,21,22,1,1,1,1,0,1,57.95,1271.8
1,20,3,1,1,1,0,0,0,85.8,272.2
0,38,40,1,0,0,1,1,0,62.05,2511.55
0,64,20,1,1,0,1,0,0,64.4,1398.6
0,61,46,0,1,0,0,2,0,19.4,967.85
0,28,70,0,1,0,0,2,0,25.15,1790.15
1,70,59,1,1,0,0,0,1,93.85,5574.75
0,22,72,1,1,0,1,2,1,105.55,7542.25
1,22,37,1,1,0,0,0,1,101.9,3545.35
1,21,3,1,1,0,0,0,1,74.4,229.55
1,75,54,1,1,0,0,1,1,101.5,5373.1
1,59,60,1,1,0,0,0,1,95.75,5742.9
0,20,55,1,1,1,1,2,1,59.2,3175.85
1,58,1,1,1,0,0,0,0,44.4,44.4
0,23,15,0,1,0,0,1,0,20.55,295.95
1,54,1,0,1,0,0,0,0,20.9,20.9
0,29,25,0,1,0,0,1,1,19.5,516.3
0,56,22,1,1,0,0,0,1,87.0,1850.65
0,21,67,1,1,1,1,2,1,85.25,5714.2
0,47,62,1,1,1,0,2,1,60.15,3753.2
0,51,41,1,1,0,0,1,1,80.55,3263.9
0,64,44,1,1,0,0,0,1,50.15,2139.1
0,59,53,1,1,1,0,1,1,94.45,5042.75
0,44,48,0,1,0,0,2,1,20.05,1036.0
0,79,54,1,1,1,1,1,1,115.6,6431.05
0,58,13,1,0,1,0,2,0,35.4,450.4
0,19,63,1,1,0,1,2,0,83.5,5435.0
0,23,10,1,1,0,0,0,1,56.75,503.25
0,62,29,1,1,1,0,0,1,98.8,2807.1
1,34,41,1,1,0,0,1,1,73.0,3001.2
0,74,45,1,1,0,0,1,1,102.15,4735.35
0,43,32,1,1,0,0,1,1,64.85,2010.95
0,52,65,0,1,0,0,2,0,24.75,1715.1
1,37,55,1,1,0,1,0,1,96.75,5238.9
0,48,11,0,1,0,0,2,0,19.65,225.75
0,49,25,0,1,0,0,0,1,19.15,477.6
1,39,1,1,1,0,0,0,1,79.7,79.7
1,72,27,1,1,0,0,0,0,88.3,2467.75
0,33,2,1,1,0,0,0,1,71.65,135.75
0,32,57,0,1,0,0,2,1,20.1,1087.7
0,74,60,1,1,0,0,1,1,100.5,6029.0
0,27,62,1,1,0,1,1,1,92.05,5755.8
1,21,5,1,1,1,1,0,0,54.2,308.25
0,58,20,0,1,0,0,0,0,20.35,442.6
1,25,30,1,1,0,0,0,1,85.0,2624.25
0,36,72,1,0,0,1,2,0,42.1,2962.0
0,37,66,1,1,1,1,2,0,65.7,4378.9
0,34,72,1,1,0,1,2,1,109.55,8165.1
0,27,28,0,1,0,0,0,0,20.5,563.05
0,59,2,1,1,0,1,0,1,62.15,113.1
0,64,13,1,1,1,0,0,0,73.35,931.55
0,26,58,1,1,1,0,2,0,70.1,4048.95
0,43,18,1,1,1,0,1,1,54.4,957.1
0,39,71,0,1,0,0,2,0,23.9,1626.4
0,62,70,1,0,1,1,2,1,44.6,3058.15
0,26,63,1,1,1,1,1,0,104.5,6590.8
1,34,5,0,1,0,0,0,1,25.9,135.0
0,38,9,1,1,0,0,0,0,80.55,653.9
0,21,41,1,1,0,1,1,1,101.6,3930.55
0,63,24,1,1,0,0,0,1,88.95,2072.75
0,43,38,0,1,0,0,2,0,20.3,743.05
0,19,25,1,1,1,1,0,1,78.35,1837.9
0,41,40,1,1,0,0,0,1,80.0,3168.75
1,48,8,1,1,0,1,0,1,49.85,365.55
0,35,13,0,1,0,0,0,1,19.85,252.0
0,21,64,1,1,0,1,0,1,91.8,5960.5
1,32,62,1,1,0,0,0,1,100.15,6283.3
0,51,20,1,1,0,0,0,1,69.8,1540.35
1,53,14,1,0,0,0,0,0,46.35,667.7
0,40,59,0,1,0,0,2,0,25.45,1534.05
0,40,59,1,1,1,0,2,1,75.95,4542.35
0,33,45,1,1,0,0,1,0,78.75,3600.65
1,62,49,1,1,0,0,0,0,75.2,3678.3
1,60,28,1,1,0,1,0,1,74.9,2068.55
0,32,72,1,1,1,1,2,1,111.9,8071.05
0,47,13,1,1,0,0,0,1,81.9,1028.9
0,41,4,0,1,0,0,0,0,18.85,84.2
0,54,63,1,1,0,0,0,1,81.55,5029.05
0,41,10,1,0,1,0,2,1,29.6,299.05
1,28,10,1,1,0,0,0,1,45.55,402.6
0,50,65,1,1,1,1,1,0,93.55,6069.25
1,77,21,1,0,0,1,0,1,41.9,840.1
0,40,29,0,1,0,0,2,0,20.2,558.8
1,49,22,1,1,1,1,1,1,67.5,1544.05
1,40,13,1,1,0,1,0,0,84.05,1095.3
1,28,67,1,1,0,1,0,1,102.95,6886.25
0,71,18,1,1,0,0,2,1,73.55,1359.45
1,32,7,1,1,0,0,0,1,98.05,713.0
0,35,48,1,1,1,1,1,1,60.6,2985.25
0,38,6,0,1,0,0,1,0,19.0,105.5
0,56,22,1,1,1,1,1,1,56.25,1292.2
0,21,72,1,1,0,0,2,1,99.4,7285.7
0,47,71,1,1,1,1,1,0,97.65,6687.85
0,41,1,1,1,0,0,0,1,54.65,54.65
0,20,63,1,1,1,1,2,1,71.9,4479.2
0,33,53,1,1,0,0,2,0,105.55,5682.25
1,73,1,1,1,0,0,0,1,69.25,69.25
1,74,2,1,1,0,0,0,0,70.75,154.85
0,41,40,1,1,1,0,1,1,105.95,4335.2
0,64,23,1,1,1,0,0,0,54.15,1312.45
1,19,4,1,1,0,0,0,1,85.65,338.9
0,45,9,1,1,1,1,0,1,68.25,576.95
0,56,13,1,1,0,1,0,1,65.85,902.25
0,32,34,1,1,1,0,0,0,65.0,2157.5
1,52,12,1,1,1,1,0,1,61.65,713.75
0,45,7,1,1,1,0,0,1,100.4,715.0
1,73,1,1,1,0,0,0,1,74.45,74.45
0,67,45,1,0,0,0,1,0,34.2,1596.6
0,41,69,1,1,1,0,2,1,97.65,6743.55
1,35,9,1,1,0,0,0,1,79.9,741.7
0,53,30,1,1,0,1,0,1,94.3,2679.7
0,44,3,1,1,1,0,0,0,70.7,225.65
0,61,72,1,0,0,1,2,1,53.8,3952.45
1,50,4,1,1,1,0,0,0,50.05,179.35
0,39,72,1,1,1,1,2,0,86.65,6224.8
1,22,2,1,0,0,0,0,1,25.05,56.35
0,68,13,1,0,0,0,0,0,45.3,528.45
0,44,72,1,0,1,1,2,0,65.7,4575.35
1,43,9,1,0,0,0,0,1,34.7,296.1
0,26,62,0,1,0,0,1,1,23.75,1446.8
0,22,72,0,1,0,0,2,0,19.9,1529.65
0,27,4,1,1,0,1,0,1,80.15,319.85
0,36,67,1,1,0,1,1,0,109.9,7332.4
0,24,15,1,1,0,0,0,0,46.3,639.45
0,49,11,1,0,0,0,0,0,25.2,321.05
0,59,43,0,1,0,0,1,1,24.45,993.15
0,54,24,1,1,0,1,1,0,78.4,1832.4
0,50,13,1,0,0,0,0,0,30.15,382.2
0,54,42,1,1,1,0,2,1,99.0,4135.0
0,48,17,1,1,1,0,0,1,66.7,1077.05
0,58,15,0,1,0,0,1,0,20.1,302.45
0,48,20,1,1,0,1,0,1,89.4,1871.15
0,55,24,0,1,0,0,1,0,21.05,531.55
0,29,71,1,1,1,0,2,1,111.25,7984.15
0,31,66,1,1,1,1,2,0,89.9,5958.85
0,33,47,1,1,1,1,1,1,86.95,4138.9
0,63,7,1,1,0,0,0,1,75.35,564.65
0,44,62,0,1,0,0,2,0,20.0,1250.1
0,23,70,1,0,1,1,2,0,48.4,3442.8
0,32,68,1,1,1,0,2,1,103.75,7039.45
0,51,5,1,1,1,0,0,0,75.15,392.65
1,26,20,1,1,0,1,0,0,82.4,1592.35
1,36,13,1,1,0,0,0,1,102.25,1359.0
1,20,54,1,1,0,1,1,1,103.95,5639.05
0,32,56,1,1,0,1,0,1,86.4,4922.4
1,72,27,1,1,0,1,0,1,101.25,2754.45
0,29,53,1,1,1,0,1,1,93.45,4872.2
1,43,11,1,1,0,0,0,1,99.5,1056.95
0,21,34,1,1,0,0,0,0,100.85,3527.3
0,38,38,0,1,0,0,1,0,20.1,730.1
0,29,69,0,1,0,0,2,0,20.2,1376.5
0,33,7,1,0,0,1,0,0,29.8,201.95
0,53,61,1,1,1,1,2,1,80.8,4860.85
0,70,60,1,1,0,0,2,0,89.45,5294.6
0,42,1,0,1,0,0,0,0,19.55,19.55
1,23,7,1,1,0,0,0,0,74.65,544.55
0,78,4,1,0,0,0,2,1,29.9,118.25
0,22,13,1,1,0,0,0,1,80.5,1011.8
0,74,63,1,1,0,0,2,1,89.6,5538.8
1,71,20,1,1,0,0,0,1,73.65,1463.5
1,46,13,1,1,0,1,0,0,98.15,1230.25
0,19,12,1,0,1,0,0,0,35.5,432.25
0,28,42,1,1,0,1,1,1,99.0,4298.45
0,35,49,1,1,0,1,1,1,109.2,5290.45
1,45,32,1,1,1,0,0,1,96.2,3183.4
0,37,11,0,1,0,0,1,1,20.0,196.35
0,31,37,0,1,0,0,1,0,19.8,677.05
0,57,69,0,1,0,0,2,0,24.25,1641.8
0,59,72,1,1,0,1,2,1,70.65,5011.15
0,34,3,1,0,0,0,0,0,29.2,98.5
1,30,69,1,1,0,0,0,1,99.45,7007.6
0,40,72,1,1,1,1,2,0,80.85,5824.75
0,50,3,1,1,0,0,0,1,54.2,140.4
1,31,18,1,1,0,1,0,0,49.4,874.8
0,78,68,1,1,1,0,1,1,60.65,3975.9
1,27,7,0,1,0,0,0,0,20.0,137.6
0,46,1,0,1,0,0,0,0,19.05,19.05
0,47,62,1,1,1,0,1,1,106.05,6703.5
0,63,56,1,1,1,0,0,0,90.55,5116.6
1,29,1,1,0,0,0,0,1,24.8,24.8
0,63,38,1,1,0,0,1,1,89.1,3342.0
0,35,72,1,1,1,1,2,1,80.45,5886.85
0,57,68,1,1,1,1,1,1,78.45,5333.35
0,77,63,1,1,0,0,0,1,103.5,6479.4
0,43,19,0,1,0,0,0,0,20.6,414.95
1,59,12,0,1,0,0,1,0,19.8,229.6
0,25,71,1,1,1,1,2,1,113.15,7993.3
1,19,56,0,1,0,0,2,1,25.15,1327.15
0,54,8,0,1,0,0,0,0,21.05,139.75
0,21,44,0,1,0,0,0,0,19.6,780.25
0,63,72,1,1,1,1,2,1,108.65,7726.35
0,70,67,1,1,1,1,1,1,105.4,7035.6
0,36,56,1,1,1,1,0,1,109.6,5953.0
1,49,1,1,1,0,0,0,1,69.9,69.9
0,56,69,1,1,1,0,2,1,92.15,6480.9
1,29,1,0,1,0,0,0,0,20.15,20.15
0,47,25,0,1,0,0,1,0,19.9,505.45
0,54,55,0,1,0,0,2,0,25.7,1443.65
0,29,59,0,1,0,0,1,0,20.35,1267.0
1,69,16,1,1,0,0,0,1,98.75,1587.55
0,75,3,1,0,0,0,0,1,30.75,82.85
0,76,64,0,1,0,0,2,0,25.65,1740.8
1,35,1,1,1,0,0,0,0,69.75,69.75
1,38,3,0,1,0,0,0,1,19.6,59.75
0,47,72,1,1,1,1,2,0,105.5,7611.55
0,27,56,1,1,0,0,1,1,99.8,5515.45
0,33,18,0,1,0,0,2,0,25.1,428.45
1,78,47,1,1,1,0,0,1,95.05,4504.55
0,42,42,1,1,0,1,0,0,54.55,2455.05
0,58,68,1,0,0,1,1,1,54.4,3723.65
0,62,1,0,1,0,0,2,0,20.35,20.35
0,52,28,1,1,0,0,0,0,64.4,1802.15
0,21,40,0,1,0,0,2,0,19.6,808.95
0,46,63,1,1,0,1,0,0,108.25,6780.1
1,59,14,1,1,1,1,1,0,105.95,1348.9
1,43,54,1,1,0,0,0,1,55.0,3092.65
1,36,16,1,1,1,0,0,1,53.9,834.15
0,36,69,1,1,0,1,1,1,53.65,3804.4
0,78,49,1,1,0,0,2,0,43.8,2106.05
0,58,24,0,1,0,0,1,0,24.6,605.25
0,38,18,0,1,0,0,1,0,20.1,407.05
0,32,27,1,1,1,0,0,1,53.8,1389.85
0,33,57,1,0,1,0,2,0,53.35,3090.05
1,39,2,1,1,0,0,0,1,85.7,169.8
0,35,60,1,1,0,1,1,0,94.15,5811.8
0,62,33,1,0,0,0,1,1,39.1,1309.0
0,61,41,1,1,0,1,0,1,74.55,3023.55
0,20,47,0,1,0,0,0,0,25.4,1139.2
0,60,11,1,1,0,0,0,1,89.2,990.3
0,35,53,1,1,1,1,1,0,64.15,3491.55
0,33,3,0,1,0,0,1,1,19.45,69.25
1,26,38,1,1,0,1,0,1,83.9,3233.6
0,65,4,1,1,0,0,2,1,74.45,294.45
0,54,3,1,1,0,1,0,1,86.05,244.85
0,19,4,1,0,1,1,0,0,48.25,202.25
0,30,45,1,1,1,1,0,1,108.45,4964.7
0,51,25,1,1,0,0,0,1,75.5,1901.05
1,48,12,0,1,0,0,0,0,19.0,233.55
0,51,9,1,1,0,0,0,1,76.85,663.55
0,61,40,0,1,0,0,0,1,20.4,745.3
0,55,20,0,1,0,0,2,0,20.05,400.0
1,37,50,1,1,0,1,0,0,105.95,5341.8
0,25,21,1,1,0,0,0,0,75.3,1570.7
1,63,1,0,1,0,0,0,1,20.1,20.1
0,31,52,0,1,0,0,2,0,19.65,1025.05
0,41,43,1,1,0,0,0,0,50.2,2169.4
0,70,27,1,1,0,1,1,1,110.5,2857.6
1,40,55,1,1,0,0,0,1,96.8,5283.95
0,49,59,1,1,0,1,1,0,66.4,3958.2
1,68,68,1,1,0,1,1,1,96.55,6581.9
0,23,44,0,1,0,0,1,0,20.0,860.85
0,24,30,0,1,0,0,2,0,19.7,599.25
1,77,12,1,0,1,0,0,1,43.65,526.95
0,60,39,1,1,1,0,2,1,53.85,2200.7
0,48,15,0,1,0,0,1,0,19.65,332.65
0,55,72,1,1,1,0,2,1,110.6,7962.2
0,80,68,1,1,1,0,1,1,107.15,7379.8
0,62,29,1,0,1,1,1,1,55.35,1636.95
0,70,20,1,1,0,0,2,0,89.95,1648.45
0,24,9,1,1,0,0,0,1,70.05,564.4
0,21,24,1,1,0,0,0,1,89.55,2187.15
0,66,42,1,1,0,0,1,1,79.35,3344.1
0,72,52,1,1,0,0,1,1,80.85,4079.55
0,75,52,1,1,1,0,2,1,110.75,5832.0
1,73,15,1,1,1,0,0,0,55.0,757.1
1,64,1,1,0,0,0,0,1,24.25,24.25
0,49,72,1,1,0,0,1,1,101.35,7323.15
0,24,55,1,1,1,0,2,1,55.25,3119.9
0,61,9,1,0,0,0,0,1,24.95,190.25
0,25,18,1,0,0,0,1,0,46.4,812.4
1,33,10,1,1,0,0,0,1,86.05,834.1
0,63,61,1,1,1,0,0,0,94.15,5731.85
1,57,1,0,1,0,0,0,0,20.05,20.05
0,68,54,1,1,1,0,1,1,99.1,5437.1
0,45,23,1,0,1,0,0,1,30.35,678.75
0,71,40,1,1,0,0,1,0,55.8,2283.3
0,32,9,0,1,0,0,0,1,20.45,147.55
0,21,20,1,1,0,1,1,0,76.0,1588.75
0,44,43,1,0,0,0,0,0,29.3,1224.05
1,32,21,1,1,0,0,0,1,74.05,1565.7
0,47,7,1,0,0,1,1,0,35.3,264.8
0,43,57,0,1,0,0,2,0,19.75,1272.05
0,35,11,1,1,0,0,0,1,69.35,712.25
1,68,1,1,1,0,0,0,1,89.3,89.3
0,75,30,1,1,1,1,0,1,105.7,3181.8
0,64,32,1,1,1,0,1,1,79.25,2619.15
0,54,52,1,1,1,1,2,1,109.3,5731.4
0,42,26,0,1,0,0,1,0,19.2,459.6
1,48,1,1,1,0,0,0,0,80.0,80.0
1,33,10,1,1,1,0,0,1,98.5,1058.25
0,42,22,1,1,0,0,0,1,89.1,1949.4
0,61,1,1,1,0,0,0,1,75.1,75.1
0,39,1,1,1,0,1,0,0,49.9,49.9
0,69,64,0,1,0,0,2,1,24.4,1548.65
0,55,36,1,1,0,0,0,1,94.7,3512.5
0,24,58,1,1,1,1,1,1,68.4,3972.25
0,75,72,1,1,1,1,2,1,116.05,8404.9
0,76,35,1,1,0,0,1,1,81.6,2815.25
1,52,28,1,1,0,1,0,1,94.5,2659.4
1,28,1,0,1,0,0,0,1,20.2,20.2
0,51,10,0,1,0,0,2,0,20.15,220.8
1,34,2,1,1,0,0,0,0,45.85,81.0
0,21,45,1,1,1,1,2,0,73.85,3371.0
1,36,12,1,1,1,0,0,1,89.4,1095.65
0,23,33,1,1,0,0,0,1,44.55,1462.6
0,19,24,0,1,0,0,2,0,25.15,553.0
1,58,1,1,1,1,0,0,0,62.05,62.05
0,50,71,1,1,0,1,2,1,99.0,6994.6
0,28,4,1,1,1,0,0,1,58.5,224.85
1,53,32,1,1,0,0,0,0,84.15,2585.95
0,31,55,0,1,0,0,0,0,20.0,1087.25
0,25,43,1,1,1,1,2,0,115.05,4895.1
1,79,13,1,1,0,0,0,1,82.0,1127.2
1,21,4,1,1,0,0,0,0,84.05,333.55
0,65,70,1,1,1,1,2,0,90.05,6333.4
0,39,68,1,1,1,1,2,1,92.2,6392.85
1,55,5,1,1,0,0,0,1,78.75,412.1
1,20,12,1,1,1,0,0,1,99.95,1132.75
0,26,57,1,1,0,0,1,1,97.55,5598.0
0,64,4,1,1,0,1,0,0,55.2,220.65
1,42,30,0,1,0,0,0,0,19.65,655.85
1,79,66,1,1,0,0,0,1,99.5,6822.15
1,26,3,1,1,0,0,0,1,45.35,141.5
0,76,51,1,1,0,1,1,1,93.65,4839.15
0,37,60,0,1,0,0,1,0,23.95,1506.4
0,27,62,1,1,0,1,1,1,81.45,4983.05
0,47,12,1,1,0,0,0,1,45.0,524.35
1,42,4,1,1,0,0,0,0,75.35,338.1
1,29,1,1,1,0,0,0,0,45.15,45.15
1,30,2,1,1,0,0,0,1,75.9,143.35
0,54,36,1,1,1,1,2,1,106.05,3834.4
0,44,1,0,1,0,0,0,1,19.55,19.55
1,40,10,1,1,0,1,0,1,84.7,832.05
1,42,68,1,1,0,0,1,1,83.0,5685.8
1,75,20,1,1,0,0,0,1,94.55,1899.65
0,80,71,0,1,0,0,2,0,25.45,1789.65
0,72,4,1,0,0,0,2,1,50.95,207.35
0,38,6,0,1,0,0,0,1,20.2,98.35
0,45,68,1,1,1,1,2,1,91.7,6424.7
0,40,63,1,1,1,0,0,1,109.85,7002.95
0,27,70,1,1,0,1,1,1,108.15,7930.55
0,45,12,0,1,0,0,1,0,19.8,202.25
0,54,40,1,1,0,0,0,1,93.4,3756.4
0,44,11,1,1,0,0,0,0,45.2,492.0
0,55,42,0,1,0,0,1,0,19.8,849.9
0,53,71,1,1,0,1,1,0,95.65,6856.95
0,24,60,1,1,0,1,2,0,61.4,3638.25
0,33,47,0,1,0,0,2,0,19.75,948.9
0,21,45,1,1,1,1,2,0,54.65,2553.7
1,53,1,1,0,0,0,0,1,35.25,35.25
0,74,46,1,1,0,0,1,1,98.85,4564.9
0,39,60,1,1,0,1,1,1,59.8,3561.15
0,26,39,0,1,0,0,1,0,19.9,791.15
0,37,2,0,1,0,0,0,0,20.3,40.25
0,24,35,0,1,0,0,1,0,20.05,746.75
1,59,1,1,1,0,0,0,1,79.55,79.55
0,77,18,0,1,0,0,1,0,20.35,369.6
0,30,8,1,1,0,0,0,1,45.45,411.75
0,19,2,1,0,0,0,0,0,24.3,38.45
0,63,10,0,1,0,0,0,1,20.55,187.35
1,80,17,1,1,0,0,0,1,89.15,1496.9
1,22,1,1,1,0,1,0,1,48.6,48.6
0,59,12,1,1,1,0,0,1,54.3,654.5
0,31,30,1,1,1,1,0,0,67.6,2000.2
0,63,5,0,1,0,0,0,0,25.45,134.75
0,31,27,1,1,1,0,0,1,89.2,2383.6
0,59,72,0,1,0,0,2,1,24.05,1709.15
0,50,45,1,1,0,0,0,1,107.75,4882.8
0,23,20,1,1,1,0,1,1,68.7,1416.2
0,71,22,1,1,0,0,2,0,85.35,1961.6
0,19,7,1,1,0,1,0,1,50.3,355.1
0,43,8,1,1,0,1,0,1,60.0,487.75
1,38,1,1,1,0,0,0,1,70.0,70.0
0,65,4,0,1,0,0,2,0,20.05,91.45
0,24,48,0,1,0,0,2,0,20.65,1057.0
0,48,36,1,1,1,1,1,1,75.55,2680.15
0,31,21,0,1,0,0,0,0,20.5,402.85
1,35,11,1,1,0,0,0,1,74.35,834.2
0,47,58,1,1,0,1,0,1,79.8,4526.85
0,28,29,0,1,0,0,1,0,20.35,617.35
1,26,2,1,1,1,0,0,1,104.4,242.8
0,21,11,1,1,1,1,1,1,54.6,617.85
0,44,64,1,1,1,1,2,1,90.6,5817.45
0,31,39,0,1,0,0,1,1,24.2,914.6
1,55,48,1,1,0,0,1,1,106.1,5082.8
0,23,24,1,1,0,1,2,0,64.35,1558.65
0,42,1,0,1,0,0,0,0,19.5,19.5
0,56,16,0,1,0,0,1,1,19.3,360.35
0,47,1,1,1,0,1,0,0,61.15,61.15
0,79,33,1,1,0,0,0,1,100.6,3270.25
0,43,56,1,1,0,0,0,0,89.7,4952.95
0,43,68,1,1,1,1,2,0,110.25,7279.35
0,57,45,1,1,1,1,1,0,113.3,5032.25
0,47,59,0,1,0,0,2,1,20.2,1192.3
0,36,22,1,1,0,0,1,1,100.05,2090.25
0,59,20,0,1,0,0,1,1,19.7,415.9
0,38,35,0,1,0,0,2,0,23.3,797.1
0,47,7,1,0,0,1,0,0,34.2,256.6
0,27,23,0,1,0,0,2,1,25.6,514.75
0,47,29,0,1,0,0,0,0,25.15,702.0
0,73,18,1,1,0,1,2,1,58.4,964.9
0,45,9,0,1,0,0,0,0,19.05,157.65
0,51,58,1,1,0,1,1,1,107.75,6332.75
1,24,1,0,1,0,0,0,0,20.5,20.5
1,62,66,1,1,0,0,0,0,99.5,6710.5
0,26,8,0,1,0,0,2,0,19.05,201.7
0,51,68,0,1,0,0,2,1,19.35,1292.65
1,59,18,1,0,0,0,0,1,33.5,600.0
1,27,1,1,1,0,0,0,0,84.3,84.3
0,45,46,1,1,0,0,1,1,101.1,4674.4
0,55,8,0,1,0,0,2,0,20.0,141.6
0,35,63,1,1,0,0,2,0,102.6,6296.75
1,54,7,1,1,0,0,0,1,79.3,523.15
1,44,12,1,1,0,0,0,1,106.7,1253.9
1,64,43,1,0,0,0,0,1,49.05,2076.2
1,73,24,1,1,0,0,0,1,102.95,2496.7
1,47,2,1,1,0,0,0,1,90.4,168.2
1,25,38,1,1,0,0,0,1,94.65,3624.3
0,63,4,1,1,0,0,0,0,86.05,308.1
0,24,31,1,1,1,0,1,0,81.7,2548.65
0,56,49,1,1,0,1,0,1,100.85,4847.35
0,61,1,1,1,0,1,0,0,55.7,55.7
0,32,60,1,1,1,0,1,0,80.55,4847.05
1,71,3,1,1,0,0,0,1,70.4,204.7
0,75,55,1,1,0,0,1,0,51.65,2838.55
